name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Michael Helman|TEX|2|0|0|0|0|1|0|1|2|0|0|0|0|0.5|0.5|0.5
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Daniel Susac|SFG|33|0|1|6|0|5|2|12|31|0|0|2|1|0.387|0.424|0.516
José Azócar|ATL|15|0|1|0|1|3|1|5|14|0|0|2|0|0.357|0.4|0.5
Henry Bolte|ATH|19|0|0|2|1|4|1|6|17|1|0|0|0|0.353|0.368|0.353
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Carlos Cortes|ATH|120|4|11|16|1|12|12|37|106|1|1|8|1|0.349|0.417|0.557
Colby Thomas|ATH|32|1|3|3|0|7|2|10|29|0|0|1|0|0.345|0.387|0.483
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Otto Lopez|MIA|199|4|28|21|7|33|7|63|187|2|3|13|2|0.337|0.367|0.492
Ildemaro Vargas|ARI|165|7|27|31|1|16|5|53|158|0|0|8|2|0.335|0.356|0.544
Shea Langeliers|ATH|192|12|32|27|0|39|17|58|173|1|1|10|0|0.335|0.396|0.601
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Mickey Gasper|BOS|31|0|3|2|0|5|0|10|30|0|1|2|0|0.333|0.355|0.4
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Jose Siri|LAA|3|0|1|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Dominic Smith|ATL|101|4|13|19|0|15|4|31|93|2|1|3|0|0.333|0.36|0.495
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Michael Conforto|CHC|71|3|11|11|0|17|12|19|58|1|0|8|0|0.328|0.437|0.621
Riley Greene|DET|199|4|27|24|1|54|27|56|171|0|1|15|0|0.327|0.422|0.485
