name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Andrew Alvarez|WSH|4.3|1|0|0|0.0|0.92|5|0|0|0|4|0|0|16
Mason Barnett|ATH|2.0|0|0|0|0.0|1.5|1|0|0|0|1|2|0|9
Brady Basso|ATH|0.7|0|0|0|0.0|1.5|0|0|0|0|1|0|0|3
Mason Black|KCR|2.7|0|0|0|0.0|2.25|3|0|0|0|4|2|0|13
Matt Brash|SEA|9.3|1|0|4|0.0|0.54|5|0|0|0|3|2|0|32
Carlos Carrasco|ATL|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Gavin Collyer|TEX|3.3|1|0|0|0.0|1.2|3|0|0|0|1|3|2|15
Duncan Davitt|CHW|1.0|0|0|0|0.0|1.0|0|0|0|0|0|1|0|3
Lazaro Estrada|TOR|4.0|0|0|0|0.0|0.5|3|0|0|0|0|2|0|14
Joey Gerber|NYM|2.0|0|0|0|0.0|1.5|5|0|0|0|2|1|0|9
Peyton Gray|TEX|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Ryan Gusto|MIA|1.0|0|0|1|0.0|0.0|1|0|0|0|0|0|0|3
Seth Halvorsen|COL|1.0|0|0|1|0.0|1.0|2|0|0|0|0|1|0|4
Austin Hedges|CLE|0.3|0|0|0|0.0|0.0|0|0|0|0|0|0|0|1
Tim Herrin|CLE|5.7|0|0|0|0.0|1.76|3|0|0|0|6|4|1|28
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Raisel Iglesias|ATL|8.7|0|5|0|0.0|0.69|11|0|0|0|5|1|0|31
Alek Jacob|SDP|2.0|1|0|0|0.0|1.0|3|0|0|0|1|1|1|9
Andrew Kittredge|BAL|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Jared Koenig|MIL|2.3|0|0|1|0.0|2.14|4|0|0|0|3|2|0|13
Christian Koss|SFG|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Corbin Martin|CHC|4.0|0|1|0|0.0|0.5|2|0|0|0|1|1|0|14
Easton McGee|MIL|1.0|0|0|0|0.0|1.0|0|0|0|0|1|0|0|3
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Mason Miller|SDP|12.3|1|9|0|0.0|0.41|27|0|0|0|3|2|0|41
Riley O'Brien|STL|13.3|3|7|1|0.0|0.45|15|0|0|0|6|0|1|45
Daniel Palencia|CHC|5.0|1|1|0|0.0|1.0|5|0|0|0|3|2|0|19
Orlando Ribalta|WSH|2.0|0|1|0|0.0|0.5|1|0|0|0|1|0|0|6
Eduardo Rivera|BOS|3.3|0|0|0|0.0|0.3|3|0|0|0|1|0|0|10
Ethan Roberts|CHC|2.7|0|0|0|0.0|0.38|2|0|0|0|1|0|2|10
Jake Rogers|DET|1.0|0|0|0|0.0|2.0|1|0|0|0|2|0|0|5
Kendry Rojas|MIN|2.0|0|0|0|0.0|2.5|0|0|0|0|2|3|0|8
Ryan Rolison|CHC|4.0|1|0|0|0.0|0.75|1|0|0|0|3|0|0|13
Tyler Samaniego|BOS|6.7|0|0|0|0.0|1.05|8|0|0|0|3|4|0|26
