name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
Daniel Susac|SFG|23|0|1|5|0|2|1|11|22|0|0.5|0.522|0.682
Weston Wilson|BAL|4|0|2|2|0|1|0|2|4|0|0.5|0.5|0.75
Dalton Rushing|LAD|22|5|8|9|0|6|0|10|21|0|0.476|0.5|1.286
Alex Call|LAD|17|0|4|1|0|1|4|5|12|0|0.417|0.588|0.583
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0.4|0.4|1.0
MJ Melendez|NYM|12|0|1|1|0|5|2|4|10|0|0.4|0.5|0.6
Myles Straw|TOR|25|1|8|3|0|2|1|9|23|0|0.391|0.417|0.565
Andy Pages|LAD|79|5|11|21|3|21|5|28|72|1|0.389|0.43|0.653
Moisés Ballesteros|CHC|46|3|7|10|0|10|3|16|42|1|0.381|0.413|0.619
Ildemaro Vargas|ARI|56|2|11|8|0|7|2|20|53|0|0.377|0.4|0.623
Christian Vázquez|HOU|37|2|6|10|0|7|4|12|32|0|0.375|0.444|0.688
Jorge Mateo|ATL|20|1|7|3|1|7|1|7|19|0|0.368|0.4|0.579
Leody Taveras|BAL|48|1|7|9|1|10|9|14|38|0|0.368|0.489|0.526
José Tena|WSH|36|0|7|6|0|8|2|12|33|0|0.364|0.417|0.394
Dominic Smith|ATL|50|4|10|16|0|6|2|17|47|1|0.362|0.38|0.66
Juan Soto|NYM|34|1|3|5|0|6|3|11|31|0|0.355|0.412|0.516
Yandy Díaz|TBR|92|3|12|16|1|11|9|28|79|0|0.354|0.446|0.532
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0.35|0.391|0.45
Yordan Alvarez|HOU|99|9|18|20|1|11|19|26|76|1|0.342|0.485|0.789
Otto Lopez|MIA|84|3|15|10|3|15|5|26|76|1|0.342|0.393|0.566
Xavier Edwards|MIA|89|1|16|6|2|10|9|27|79|0|0.342|0.409|0.481
Joey Wiemer|WSH|47|2|10|5|0|16|6|14|41|0|0.341|0.426|0.561
Miguel Andujar|SDP|47|0|5|2|1|9|2|15|44|0|0.341|0.383|0.477
Carson Kelly|CHC|60|2|9|10|0|8|10|17|50|0|0.34|0.45|0.52
Ben Rice|NYY|79|7|19|17|1|20|16|21|62|1|0.339|0.468|0.774
CJ Abrams|WSH|87|6|12|19|4|12|10|24|71|1|0.338|0.448|0.634
Chandler Simpson|TBR|86|0|10|4|7|6|3|27|80|0|0.338|0.361|0.388
Andrés Chaparro|WSH|7|0|1|0|0|2|1|2|6|0|0.333|0.429|0.5
Billy Cook|PIT|6|0|3|0|1|2|0|2|6|0|0.333|0.333|0.333
Kyle Farmer|ATL|7|0|1|3|0|0|0|2|6|1|0.333|0.286|0.5
Eloy Jiménez|TOR|13|0|1|0|0|3|1|4|12|0|0.333|0.385|0.333
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|0.333|0.4|0.556
Felix Reyes|PHI|3|1|1|1|0|1|0|1|3|0|0.333|0.333|1.333
Connor Wong|BOS|27|0|1|2|1|5|1|8|24|0|0.333|0.385|0.5
Ryan O'Hearn|PIT|84|4|11|15|1|14|11|23|70|2|0.329|0.417|0.543
Nick Fortes|TBR|59|1|4|7|0|7|2|18|55|0|0.327|0.373|0.455
Nico Hoerner|CHC|92|3|13|20|6|9|9|26|80|1|0.325|0.402|0.525
Shea Langeliers|ATH|89|6|15|12|0|24|9|26|80|0|0.325|0.393|0.6
Adam Frazier|LAA|39|1|10|4|0|9|6|10|31|0|0.323|0.447|0.484
Miguel Rojas|LAD|35|0|3|1|0|6|3|10|31|1|0.323|0.371|0.387
Luis Arraez|SFG|86|0|10|6|2|4|5|25|78|2|0.321|0.353|0.385
Drake Baldwin|ATL|96|5|21|19|0|17|6|28|88|0|0.318|0.375|0.523
Luke Raley|SEA|72|5|11|13|0|25|4|21|66|0|0.318|0.375|0.636
Colt Keith|DET|66|0|10|5|0|15|3|20|63|0|0.317|0.348|0.429
Casey Schmitt|SFG|65|2|7|7|1|16|2|19|60|0|0.317|0.369|0.517
Mauricio Dubón|ATL|78|2|11|14|0|13|4|23|73|0|0.315|0.359|0.479
Vladimir Guerrero Jr.|TOR|86|1|7|8|1|10|12|23|73|0|0.315|0.419|0.411
Daniel Schneemann|CLE|54|2|8|11|1|15|3|16|51|0|0.314|0.352|0.549
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0.314|0.375|0.451
Liam Hicks|MIA|71|4|12|18|1|5|3|20|64|2|0.313|0.352|0.531
Javier Sanoja|MIA|51|0|1|7|2|6|3|15|48|0|0.313|0.353|0.375
Kevin McGonigle|DET|90|1|15|9|1|11|13|24|77|0|0.312|0.411|0.481
Jordan Walker|STL|85|8|16|16|3|25|8|24|77|0|0.312|0.376|0.662
Will Smith|LAD|70|2|9|10|0|11|8|19|61|1|0.311|0.386|0.426
Wilyer Abreu|BOS|79|3|10|10|0|18|5|23|74|0|0.311|0.354|0.514
Masataka Yoshida|BOS|38|0|3|5|1|6|8|9|29|0|0.31|0.474|0.414
Jorbit Vivas|WSH|54|0|10|2|0|6|5|13|42|1|0.31|0.423|0.357
Corbin Carroll|ARI|80|3|15|16|2|20|11|21|68|1|0.309|0.4|0.618
William Contreras|MIL|83|2|10|11|0|10|11|22|72|0|0.306|0.398|0.472
Troy Johnston|COL|65|2|7|10|1|14|4|18|59|0|0.305|0.359|0.492
Brendan Donovan|SEA|71|3|7|8|1|12|9|17|56|1|0.304|0.437|0.518
Jose Fernandez|ARI|56|2|10|9|1|14|0|17|56|0|0.304|0.304|0.446
Josh Jung|TEX|72|2|7|7|0|12|6|20|66|0|0.303|0.361|0.5
Oneil Cruz|PIT|95|6|16|19|9|29|8|26|86|0|0.302|0.368|0.57
Brandon Nimmo|TEX|97|4|13|11|1|21|9|26|86|0|0.302|0.381|0.512
Jeremiah Jackson|BAL|65|5|6|17|0|17|0|19|63|1|0.302|0.308|0.571
Luis Campusano|SDP|33|1|5|6|0|7|3|9|30|0|0.3|0.364|0.533
Jonny DeLuca|TBR|42|2|9|11|1|6|2|12|40|0|0.3|0.333|0.525
Adrian Del Castillo|ARI|30|1|3|10|0|8|0|9|30|0|0.3|0.3|0.5
Tyler Freeman|COL|35|0|1|4|2|5|1|9|30|0|0.3|0.382|0.3
Alec Burleson|STL|90|3|9|15|1|9|12|23|77|1|0.299|0.389|0.481
Brice Turang|MIL|84|4|19|14|6|19|16|20|67|0|0.299|0.434|0.582
Sal Stewart|CIN|89|7|15|18|4|16|14|22|74|1|0.297|0.404|0.635
Ernie Clement|TOR|82|0|6|5|1|6|1|24|81|0|0.296|0.305|0.383
Freddie Freeman|LAD|89|3|9|14|0|10|7|24|81|0|0.296|0.36|0.519
Matt Olson|ATL|94|5|17|15|0|25|13|24|81|0|0.296|0.394|0.605
Austin Martin|MIN|61|1|11|4|2|10|14|13|44|1|0.295|0.475|0.409
Matt Chapman|SFG|90|1|12|12|0|16|5|25|85|0|0.294|0.333|0.4
Adley Rutschman|BAL|39|0|3|3|0|6|5|10|34|0|0.294|0.385|0.471
Jo Adell|LAA|95|3|11|14|1|18|3|26|89|0|0.292|0.337|0.416
Austin Hedges|CLE|27|0|5|2|0|5|2|7|24|1|0.292|0.333|0.375
Taylor Trammell|HOU|27|0|2|4|1|8|3|7|24|0|0.292|0.37|0.333
Taylor Ward|BAL|98|0|10|8|1|18|13|24|83|1|0.289|0.388|0.422
Ezequiel Duran|TEX|49|1|6|7|3|11|4|13|45|0|0.289|0.347|0.422
Ramón Laureano|SDP|81|4|12|15|3|18|6|21|73|1|0.288|0.346|0.534
Deyvison De Los Santos|MIA|7|0|0|0|0|3|0|2|7|0|0.286|0.286|0.429
Ryan Mountcastle|BAL|15|0|0|1|0|2|1|4|14|0|0.286|0.333|0.357
Richie Palacios|TBR|36|1|5|4|3|4|5|8|28|0|0.286|0.444|0.393
George Valera|CLE|14|0|0|2|0|2|0|4|14|0|0.286|0.286|0.429
Daylen Lile|WSH|97|1|13|8|1|16|5|26|92|0|0.283|0.32|0.38
Randy Arozarena|SEA|93|1|17|7|5|16|12|22|78|0|0.282|0.398|0.372
Willson Contreras|BOS|80|3|9|11|0|23|11|18|64|0|0.281|0.425|0.453
Tristan Gray|MIN|37|2|4|11|0|13|2|9|32|1|0.281|0.333|0.5
Brandon Marsh|PHI|68|2|8|11|2|16|3|18|64|1|0.281|0.309|0.438
Ceddanne Rafaela|BOS|65|1|9|5|0|12|4|16|57|0|0.281|0.369|0.368
Ozzie Albies|ATL|90|4|14|9|0|13|6|23|82|1|0.28|0.333|0.451
J.T. Realmuto|PHI|57|1|5|4|0|11|5|14|50|0|0.28|0.368|0.38
Angel Martínez|CLE|67|2|8|9|4|11|3|17|61|0|0.279|0.333|0.443
Jose Altuve|HOU|94|3|16|7|1|19|15|22|79|0|0.278|0.394|0.468
Javier Báez|DET|58|1|7|5|1|11|2|15|54|1|0.278|0.31|0.426
Ryan Jeffers|MIN|64|2|10|12|0|11|8|15|54|0|0.278|0.381|0.463
Garrett Mitchell|MIL|63|1|7|16|4|24|15|13|47|0|0.277|0.452|0.426
Gabriel Moreno|ARI|45|0|6|5|0|8|3|11|40|1|0.275|0.333|0.4
Cody Bellinger|NYY|87|3|13|11|3|12|12|20|73|2|0.274|0.368|0.452
Andrés Giménez|TOR|78|3|6|11|4|12|4|20|73|0|0.274|0.312|0.466
Max Muncy|ATH|80|2|15|6|2|30|4|20|73|1|0.274|0.325|0.479
Francisco Alvarez|NYM|67|4|8|5|0|11|8|15|55|0|0.273|0.385|0.509
Miguel Amaya|CHC|40|1|7|4|0|9|6|9|33|0|0.273|0.4|0.394
Michael Conforto|CHC|28|0|3|3|0|10|6|6|22|0|0.273|0.429|0.364
Griffin Conine|MIA|25|2|6|4|2|6|2|6|22|0|0.273|0.36|0.591
Justin Crawford|PHI|61|0|7|1|1|13|4|15|55|0|0.273|0.344|0.382
Teoscar Hernández|LAD|72|4|12|12|1|23|5|18|66|1|0.273|0.319|0.5
Leo Jiménez|MIA|12|0|0|0|0|0|1|3|11|0|0.273|0.333|0.273
Hyeseong Kim|LAD|28|1|4|3|3|8|5|6|22|1|0.273|0.393|0.455
Everson Pereira|CHW|36|3|6|5|0|11|3|9|33|0|0.273|0.333|0.636
Bryce Harper|PHI|84|4|10|11|1|14|10|20|74|0|0.27|0.357|0.527
Eugenio Suárez|CIN|82|3|8|11|0|23|8|20|74|0|0.27|0.341|0.432
Jac Caglianone|KCR|70|0|6|1|0|21|5|17|63|0|0.27|0.343|0.365
Connor Norby|MIA|74|2|6|7|0|17|6|17|63|1|0.27|0.365|0.444
Dane Myers|CIN|29|0|2|2|1|5|2|7|26|0|0.269|0.345|0.269
Maikel Garcia|KCR|92|2|12|9|1|15|9|22|82|1|0.268|0.337|0.415
Jake Mangum|PIT|47|0|9|1|2|8|5|11|41|0|0.268|0.348|0.293
Josh Bell|MIN|83|3|17|14|0|18|10|19|71|1|0.268|0.361|0.465
Vaughn Grissom|LAA|21|0|3|1|0|1|5|4|15|0|0.267|0.45|0.267
Brandon Lowe|PIT|88|7|12|18|0|18|12|20|75|0|0.267|0.375|0.6
Oswald Peraza|LAA|68|4|7|8|3|16|6|16|60|0|0.267|0.343|0.517
Seiya Suzuki|CHC|37|0|6|2|0|8|6|8|30|0|0.267|0.405|0.3
Bobby Witt Jr.|KCR|90|0|4|8|8|18|10|21|79|1|0.266|0.344|0.329
Jeff McNeil|ATH|73|0|5|4|1|11|7|17|64|1|0.266|0.342|0.344
Kyle Isbel|KCR|57|2|6|6|4|12|4|13|49|0|0.265|0.333|0.408
Elly De La Cruz|CIN|93|6|16|12|5|29|10|22|83|0|0.265|0.344|0.53
Carlos Correa|HOU|82|1|15|9|1|13|10|19|72|0|0.264|0.354|0.375
Shohei Ohtani|LAD|92|5|12|10|0|20|14|19|72|2|0.264|0.396|0.5
Tanner Murray|CHW|21|1|2|2|0|3|1|5|19|0|0.263|0.333|0.421
Luis Torrens|NYM|19|0|2|4|0|2|0|5|19|0|0.263|0.263|0.316
Christian Walker|HOU|88|4|12|16|0|15|10|20|76|1|0.263|0.352|0.5
Jesús Sánchez|TOR|68|2|7|11|0|12|3|16|61|2|0.262|0.309|0.41
Willy Adames|SFG|90|3|11|6|0|23|5|22|84|0|0.262|0.311|0.488
Jake Burger|TEX|89|5|10|17|0|26|3|22|84|1|0.262|0.292|0.488
Amed Rosario|NYY|45|3|4|9|0|7|2|11|42|1|0.262|0.289|0.548
Daulton Varsho|TOR|72|3|8|7|1|11|7|17|65|0|0.262|0.333|0.462
Derek Hill|CHW|27|0|3|0|3|8|4|6|23|0|0.261|0.37|0.261
Andruw Monasterio|BOS|26|0|2|3|1|6|3|6|23|0|0.261|0.346|0.348
Mickey Moniak|COL|54|5|8|9|1|14|3|13|50|1|0.26|0.296|0.62
Xander Bogaerts|SDP|84|3|5|13|2|7|7|20|77|0|0.26|0.321|0.403
Kyle Tucker|LAD|90|3|16|13|3|19|12|20|77|1|0.26|0.356|0.403
Ty France|SDP|29|1|4|1|0|4|1|7|27|0|0.259|0.31|0.407
Tyler Heineman|TOR|30|0|4|1|0|6|1|7|27|0|0.259|0.31|0.259
Trea Turner|PHI|87|2|13|7|2|17|6|21|81|0|0.259|0.31|0.383
Dillon Dingler|DET|68|4|9|14|0|12|4|15|58|0|0.259|0.348|0.517
Joey Loperfido|HOU|66|0|7|6|1|19|6|15|58|1|0.259|0.333|0.345
Michael Harris II|ATL|70|3|7|8|2|15|4|17|66|0|0.258|0.3|0.409
Luis Robert Jr.|NYM|78|2|9|7|2|16|12|17|66|0|0.258|0.372|0.379
Carlos Cortes|ATH|41|1|4|6|0|2|6|9|35|0|0.257|0.366|0.4
Hunter Goodman|COL|78|5|14|8|1|31|6|18|70|0|0.257|0.333|0.514
Taylor Walls|TBR|41|0|7|4|3|10|2|9|35|0|0.257|0.316|0.286
Heliot Ramos|SFG|79|2|8|13|0|25|5|19|74|0|0.257|0.304|0.378
Cam Smith|HOU|88|3|13|10|3|19|11|19|74|1|0.257|0.356|0.446
