name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Tanner Andrews|TOR|3.0|0|0|0|0.0|1.0|1|0|0|0|1|2|0|11
Ty Blach|CHC|3.0|0|0|0|0.0|0.33|2|0|0|0|1|0|0|9
Corbin Burnes|ARI|3.0|0|0|0|0.0|1.33|2|0|0|0|2|2|0|13
Tyler Callihan|PIT|3.0|0|0|0|0.0|2.0|1|0|0|0|3|3|0|15
Eiberson Castellano|COL|3.0|0|1|0|0.0|1.33|2|0|0|0|4|0|1|12
Jose Espada|BAL|1.0|0|0|0|0.0|2.0|0|0|0|0|2|0|0|4
Rafael Flores Jr.|PIT|1.0|0|0|0|0.0|2.0|0|0|0|0|2|0|0|5
Anthony Gose|KCR|7.7|1|0|1|0.0|0.91|1|0|0|0|6|1|0|29
Sam Haggerty|TEX|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|1|3
Kevin Herget|NYM|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Enrique Hernández|LAD|1.0|0|0|0|0.0|1.0|0|0|0|0|1|0|0|4
Welinton Herrera|COL|2.3|0|0|0|0.0|1.29|2|0|0|0|2|1|0|10
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Grant Holman|PHI|0.3|0|0|0|0.0|15.0|0|0|0|0|4|1|0|7
Troy Johnston|COL|2.0|0|0|0|0.0|1.0|0|0|0|0|1|1|1|9
Antoine Kelly|CHC|1.3|0|0|0|0.0|0.75|1|0|0|0|0|1|0|4
Brooks Kriske|ATH|2.7|0|0|0|0.0|1.13|2|0|0|0|2|1|0|11
Luke Maile|KCR|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Justin Martinez|ARI|7.7|2|0|1|0.0|0.91|11|0|0|0|2|5|1|31
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Jake Meyers|HOU|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Noah Murdock|PIT|3.3|0|0|0|0.0|1.8|4|0|0|0|3|3|0|15
Austin Peterson|CLE|2.0|0|0|0|0.0|0.5|3|0|0|0|1|0|0|8
Jake Rogers|DET|2.3|0|0|0|0.0|1.71|3|0|0|0|3|1|1|12
Josh Rojas|KCR|1.0|0|0|0|0.0|1.0|0|0|0|0|1|0|0|4
Dylan Ross|NYM|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Yacksel Ríos|CHC|1.7|0|0|0|0.0|0.0|2|0|0|0|0|0|0|5
Max Schuemann|NYY|1.0|0|0|0|0.0|2.0|0|0|0|0|1|1|0|5
Zack Short|NYM|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Jack Sinclair|WSH|4.3|1|0|0|0.0|0.92|4|0|0|0|1|3|2|18
Garrett Stallings|MIL|11.0|0|1|0|0.0|0.64|11|0|0|0|3|4|0|40
Gary Sánchez|MIL|2.0|0|0|0|0.0|2.0|0|0|0|0|4|0|0|10
Bryan Torres|STL|2.0|0|0|0|0.0|1.0|0|0|0|0|1|1|0|8
Vince Velasquez|CHC|3.3|0|0|0|0.0|0.3|1|0|0|0|1|0|0|11
Cameron Weston|BAL|1.0|0|0|0|0.0|1.0|1|0|0|0|0|1|0|3
Guillo Zuñiga|NYM|1.0|0|0|0|0.0|1.0|1|0|0|0|0|1|0|4
Hagen Smith|CHW|20.0|3|0|1|0.45|0.85|29|1|0|1|7|10|0|76
Matt Brash|SEA|16.7|3|0|6|0.54|0.84|15|0|0|1|8|6|3|64
Robert Suarez|ATL|32.0|4|4|12|0.56|0.84|26|1|0|2|21|6|0|121
Josh Hader|HOU|41.3|4|25|0|0.87|0.65|54|1|0|4|16|11|0|151
Derek Law|ARI|9.0|0|0|0|1.0|1.11|5|0|0|1|8|2|1|34
Mason Miller|SDP|63.3|5|36|0|1.14|0.85|117|2|0|8|31|23|2|242
Alimber Santa|HOU|15.3|0|0|0|1.17|0.91|9|1|0|2|8|6|0|59
Louis Varland|TOR|73.3|5|33|5|1.23|1.0|91|2|0|10|52|21|0|288
Alec Gamboa|BOS|28.0|1|1|1|1.29|1.0|20|1|0|4|20|8|1|109
Yerry De los Santos|NYY|20.0|1|0|0|1.35|1.2|15|2|0|3|16|8|0|84
Brian Fitzpatrick|MIL|6.7|0|0|0|1.35|1.5|5|0|0|1|7|3|0|30
Marco Gonzales|TEX|6.7|0|1|0|1.35|1.65|3|0|0|1|7|4|0|29
Wyatt Olds|BOS|13.0|1|0|0|1.38|1.08|17|2|0|2|9|5|1|54
Kervin Castro|NYY|6.3|0|0|0|1.42|0.79|8|0|0|1|3|2|0|23
Carl Edwards Jr.|NYM|6.0|0|0|0|1.5|1.17|11|1|0|1|3|4|0|25
Logan VanWey|HOU|6.0|1|0|0|1.5|0.83|5|0|0|1|5|0|0|22
Bryan Baker|TBR|58.3|2|40|2|1.54|0.91|62|4|0|10|32|21|2|229
Ray Kerr|ATL|11.3|0|0|1|1.59|0.53|6|1|0|2|5|1|2|42
Ricky Tiedemann|TOR|5.3|0|0|0|1.69|1.69|7|0|0|1|4|5|1|25
Paul Blackburn|NYY|79.7|7|1|10|1.69|1.07|66|7|0|15|54|31|1|313
Tyler Rogers|TOR|66.7|2|4|31|1.76|1.16|37|1|0|13|55|22|2|276
Shohei Ohtani|LAD|85.7|8|0|0|1.79|0.95|95|4|12|17|55|26|6|340
Josh Walker|BAL|25.0|1|1|4|1.8|1.16|24|2|0|5|21|8|1|103
Jacob Latz|TEX|64.7|3|28|3|1.81|0.76|72|4|0|13|29|20|0|240
Jhoan Duran|PHI|54.3|2|30|0|1.82|1.03|75|2|0|11|47|9|4|218
Garrett Whitlock|BOS|49.0|6|3|25|1.84|0.82|57|3|0|10|33|7|0|183
Ben Brown|CHC|68.0|4|1|2|1.85|0.94|65|2|3|14|45|19|2|265
Michael Fulmer|NYY|9.7|0|0|2|1.86|1.24|11|1|0|2|7|5|1|42
James Karinchak|ATL|9.7|0|0|1|1.86|0.93|8|1|0|2|4|5|0|37
Nate Lavender|NYM|14.3|1|0|9|1.88|0.98|17|0|0|3|11|3|0|55
Blake Snell|LAD|37.7|4|0|0|1.91|1.09|51|0|4|8|25|16|1|154
Jacob Misiorowski|MIL|161.3|14|0|0|1.95|0.8|236|14|18|35|88|41|9|616
Brent Headrick|NYY|73.3|7|0|28|1.96|1.2|91|4|0|16|64|24|0|304
Nate Pearson|KCR|41.0|2|4|6|1.98|1.12|36|1|0|9|27|19|4|166
Aroldis Chapman|BOS|49.7|3|33|0|1.99|1.13|65|3|0|11|35|21|1|205
A.J. Minter|MIN|40.3|2|1|8|2.01|0.97|36|6|0|9|32|7|1|160
Cam Schlittler|NYY|178.7|13|0|0|2.01|0.92|220|16|18|40|122|42|6|701
Yuki Matsui|SDP|58.0|3|0|9|2.02|1.12|62|7|0|13|33|32|2|235
Abner Uribe|MIL|53.3|5|6|20|2.03|1.01|55|3|0|12|35|19|1|210
Blake Weiman|LAA|13.3|0|0|2|2.03|1.28|11|1|0|3|16|1|0|58
Juan Burgos|ARI|4.3|0|0|0|2.08|0.69|0|0|0|1|3|0|1|17
Brandyn Garcia|ARI|43.3|0|5|16|2.08|0.78|53|2|0|10|24|10|5|164
DL Hall|MIL|52.0|3|0|5|2.08|1.06|55|4|0|12|24|31|1|203
Erik Miller|BOS|47.0|4|4|13|2.11|1.28|70|3|0|11|32|28|3|201
Steven Okert|HOU|67.7|6|0|21|2.13|0.87|68|7|0|16|45|14|4|261
Riley Martin|CHC|8.3|0|0|0|2.16|0.84|10|1|0|2|5|2|0|31
Chris Sale|ATL|157.0|14|0|0|2.18|0.99|190|9|19|38|125|31|14|627
Cade Smith|CLE|66.0|5|36|0|2.18|1.05|95|5|0|16|47|22|4|269
Jack Anderson|MIN|12.3|1|1|0|2.19|1.05|12|1|0|3|10|3|0|48
Joe Mantiply|TOR|24.7|2|0|0|2.19|1.01|20|2|0|6|20|5|1|96
Daniel Duarte|NYM|28.7|2|2|6|2.2|0.8|28|3|0|7|16|7|1|108
Grant Taylor|CHW|76.7|7|8|10|2.23|1.07|100|7|0|19|55|27|1|308
Jake Eder|LAD|4.0|1|0|0|2.25|1.0|1|0|0|1|3|1|0|15
Daniel Espino|CLE|12.0|0|0|0|2.25|1.17|20|1|0|3|10|4|0|50
Julian Fernández|WSH|4.0|0|0|0|2.25|1.25|3|1|0|1|3|2|0|18
Cam Booser|TBR|35.7|1|0|10|2.27|0.84|40|5|0|9|24|6|0|135
Didier Fuentes|ATL|67.3|7|3|16|2.27|1.08|86|5|0|17|53|20|2|273
Bradgley Rodriguez|SDP|66.3|3|2|14|2.31|1.09|74|5|0|17|54|18|0|273
Juan Morillo|ARI|58.3|3|3|18|2.31|1.06|67|3|0|15|41|21|4|238
Logan Henderson|MIL|88.3|10|0|0|2.34|0.78|99|12|7|23|54|15|1|328
Paul Gervase|LAD|7.7|0|0|0|2.35|1.57|8|0|0|2|7|5|0|34
Tyler Wells|TBR|72.0|5|6|15|2.38|0.9|72|8|0|19|47|18|2|277
Dylan Dodd|ATL|45.3|4|1|14|2.38|0.93|47|6|0|12|28|14|2|177
Joel Peguero|SFG|11.3|0|0|1|2.38|1.24|5|0|0|3|10|4|2|48
Brock Stewart|LAD|22.7|1|1|7|2.38|1.01|20|2|0|6|14|9|0|87
Dylan Cease|TOR|161.3|10|0|0|2.4|1.04|227|11|15|43|101|67|3|644
Jonathan Loáisiga|ARI|59.7|7|1|10|2.41|1.01|44|3|0|16|49|11|1|232
Troy Melton|DET|108.0|8|0|0|2.42|1.05|87|13|9|29|83|30|6|434
Taylor Clarke|ARI|67.0|2|0|13|2.42|0.87|40|6|0|18|46|12|3|255
Scott Blewett|ATH|29.3|2|0|2|2.45|1.26|26|1|0|8|28|9|0|122
Zach Eflin|BAL|3.7|0|0|0|2.45|1.64|7|1|0|1|4|2|0|17
Robert Garcia|TEX|11.0|1|0|2|2.45|1.09|10|0|0|3|5|7|0|43
Elieser Hernández|ATL|11.0|2|1|0|2.45|1.45|11|3|0|3|10|6|1|50
Cade Horton|CHC|7.3|1|0|0|2.45|0.82|4|1|1|2|4|2|0|26
Yunior Marte|SFG|14.7|0|0|0|2.45|1.09|9|2|0|4|10|6|0|59
Jack Weisenburger|NYM|7.3|0|0|0|2.45|1.09|6|0|0|2|6|2|0|30
Eddy Yean|WSH|11.0|0|0|1|2.45|0.91|7|1|0|3|8|2|1|45
Brock Burke|CIN|69.3|6|2|18|2.47|1.28|72|5|0|19|50|39|4|296
Tanner Scott|LAD|58.3|1|22|12|2.47|0.96|72|4|0|16|43|13|1|228
Jose Cuas|KCR|18.0|0|0|4|2.5|1.89|19|0|0|5|23|11|0|85
Jason Adam|SDP|32.3|2|2|17|2.51|1.18|22|5|0|9|30|8|2|134
