name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Victor Mederos|ATL|1|0|0|2|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Jihwan Bae|MIL|4|0|0|0|0|1|0|1|2|0|1|0|0|0.5|0.667|0.5
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Michael Toglia|CIN|2|0|1|0|0|0|0|1|2|0|0|0|0|0.5|0.5|0.5
Joshua Kuroda-Grauer|ATH|62|1|8|4|0|7|1|25|60|0|1|7|0|0.417|0.435|0.583
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Eduardo Valencia|DET|43|4|10|13|0|11|1|16|41|0|1|5|0|0.39|0.419|0.805
Justin Dean|CHC|10|0|3|3|1|4|2|3|8|0|0|0|1|0.375|0.5|0.625
Angel Genao|CLE|22|1|4|2|1|2|2|7|19|0|1|0|0|0.368|0.455|0.526
Brewer Hicklen|ATL|23|0|5|3|0|8|4|7|19|0|0|4|0|0.368|0.478|0.579
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Bryan De La Cruz|PHI|32|2|4|6|0|7|2|9|26|2|2|1|0|0.346|0.406|0.615
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Samad Taylor|SDP|102|1|14|11|6|30|12|29|88|0|0|1|1|0.33|0.41|0.398
Yordan Alvarez|HOU|526|35|80|87|1|90|83|139|432|4|7|25|0|0.322|0.435|0.623
Tyler Tolbert|KCR|101|3|23|6|16|16|8|28|88|1|0|5|0|0.318|0.371|0.477
Otto Lopez|MIA|503|9|72|53|23|66|24|148|466|9|4|29|7|0.318|0.35|0.468
Jordan Lawlar|ARI|44|1|6|4|4|10|3|12|38|0|3|2|0|0.316|0.409|0.447
Luis Arraez|PHI|502|5|56|48|10|23|26|143|456|10|4|25|7|0.314|0.349|0.432
Blaze Alexander|BAL|246|4|31|29|9|54|16|69|221|1|4|12|2|0.312|0.368|0.439
Luis Campusano|SDP|139|5|16|19|0|30|18|37|119|0|2|9|0|0.311|0.41|0.513
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Chandler Simpson|TBR|450|0|49|25|33|39|20|128|417|6|0|12|6|0.307|0.334|0.365
Wade Meckler|LAA|196|3|24|20|4|42|17|54|177|0|1|10|0|0.305|0.369|0.412
Freddie Freeman|LAD|502|15|58|57|5|81|52|135|443|4|3|27|1|0.305|0.378|0.472
Nick Gonzales|PIT|474|6|62|53|5|82|28|133|437|1|8|20|1|0.304|0.357|0.396
Gabriel Moreno|ARI|381|8|49|52|4|56|43|99|326|8|4|22|1|0.304|0.383|0.451
Jake McCarthy|COL|407|13|57|67|20|69|19|114|376|4|4|25|7|0.303|0.34|0.511
Alex Jackson|MIN|69|1|11|5|0|23|1|20|66|0|2|4|0|0.303|0.333|0.409
Yandy Díaz|TBR|505|17|67|68|3|73|43|135|448|5|9|21|1|0.301|0.37|0.467
Andrew Vaughn|MIL|239|5|26|34|0|36|27|62|206|2|4|16|2|0.301|0.389|0.471
Ronny Simon|PIT|22|0|3|2|1|1|2|6|20|0|0|1|0|0.3|0.364|0.35
Jake Mangum|PIT|353|4|44|27|21|67|19|96|321|2|8|14|1|0.299|0.351|0.386
Jung Hoo Lee|SFG|446|9|57|46|8|46|18|124|418|4|6|26|4|0.297|0.332|0.443
Cole Carrigg|COL|204|5|35|30|7|41|23|51|173|4|3|14|3|0.295|0.379|0.497
Pedro Ramírez|CHC|124|2|17|15|5|22|10|33|112|1|0|8|1|0.295|0.35|0.438
TJ Rumfield|COL|469|13|50|59|0|67|45|122|415|2|7|24|2|0.294|0.371|0.455
Josh Jung|TEX|396|9|46|35|1|71|33|104|354|3|6|23|1|0.294|0.361|0.441
Max Clark|DET|46|1|6|7|0|13|4|12|41|0|1|2|1|0.293|0.37|0.463
Michael Harris II|ATL|457|20|59|67|6|89|18|127|434|3|2|25|1|0.293|0.322|0.493
James McCann|ARI|113|4|11|21|0|28|4|31|106|0|1|5|0|0.292|0.324|0.453
Ty France|SDP|334|17|42|51|1|75|17|88|301|5|10|15|2|0.292|0.345|0.525
Abimelec Ortiz|WSH|25|2|2|4|0|5|1|7|24|0|0|1|0|0.292|0.32|0.583
Jeremy Peña|HOU|318|13|55|38|8|65|21|84|289|2|6|12|1|0.291|0.349|0.474
Eloy Jiménez|TOR|35|0|2|3|0|7|3|9|31|1|0|0|0|0.29|0.343|0.29
Shohei Ohtani|LAD|505|26|76|72|7|116|69|123|424|5|5|23|2|0.29|0.392|0.538
Kevin McGonigle|DET|519|12|77|48|11|71|73|127|441|2|3|21|3|0.288|0.391|0.431
Ceddanne Rafaela|BOS|480|16|61|63|16|95|19|129|450|2|7|28|3|0.287|0.324|0.469
Miguel Rojas|LAD|185|3|18|18|0|19|11|47|164|6|2|11|0|0.287|0.328|0.409
CJ Abrams|WSH|503|29|75|91|22|115|42|127|444|6|11|23|3|0.286|0.358|0.547
Deyvison De Los Santos|MIA|7|0|0|0|0|3|0|2|7|0|0|1|0|0.286|0.286|0.429
Enrique Hernández|LAD|22|1|3|2|0|4|1|6|21|0|0|2|0|0.286|0.318|0.524
Brandon Lockridge|MIL|102|0|10|12|6|27|10|26|91|0|0|4|0|0.286|0.356|0.33
George Lombard Jr.|NYY|24|2|4|2|0|6|3|6|21|0|0|0|0|0.286|0.375|0.571
Ryan Mountcastle|BAL|15|0|0|1|0|2|1|4|14|0|0|1|0|0.286|0.333|0.357
Joey Wiemer|WSH|83|3|16|12|1|29|12|20|70|0|1|5|1|0.286|0.398|0.514
Pete Crow-Armstrong|CHC|532|27|85|72|30|142|65|129|452|3|11|23|7|0.285|0.386|0.546
Jonathan Aranda|TBR|507|15|57|73|0|115|57|124|435|7|8|19|0|0.285|0.373|0.432
Ryan Waldschmidt|ARI|197|2|24|15|6|60|11|51|179|2|3|13|1|0.285|0.333|0.402
Alec Burleson|STL|504|19|64|81|3|83|44|129|453|3|4|29|1|0.285|0.351|0.479
Javier Báez|DET|122|2|18|14|1|21|4|33|116|1|1|6|0|0.284|0.311|0.388
Jordan Walker|STL|495|23|71|83|15|122|38|128|451|3|3|23|0|0.284|0.341|0.488
Xavier Edwards|MIA|502|6|55|44|18|67|58|124|437|5|0|16|6|0.284|0.364|0.389
Juan Soto|NYM|359|21|46|52|7|48|63|83|293|2|0|8|2|0.283|0.408|0.539
Bobby Witt Jr.|KCR|448|13|60|42|32|78|45|113|399|3|1|24|1|0.283|0.355|0.446
Troy Johnston|COL|363|3|36|43|4|62|30|91|322|5|5|25|0|0.283|0.348|0.388
