name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Mason Barnett|ATH|2.0|0|0|0|0.0|1.5|1|0|0|0|1|2|0|9
Tristan Beck|SFG|3.0|0|0|0|0.0|0.67|1|0|0|0|2|0|0|11
Ty Blach|CHC|3.0|0|0|0|0.0|0.33|2|0|0|0|1|0|0|9
Mason Black|KCR|4.7|0|0|0|0.0|1.93|5|0|0|0|7|2|0|22
Matt Brash|SEA|11.3|2|0|4|0.0|0.44|8|0|0|0|3|2|1|38
Carlos Carrasco|ATL|2.3|0|0|0|0.0|0.43|2|0|0|0|1|0|0|8
Carlos Cortes|ATH|1.0|0|0|0|0.0|2.0|0|0|0|0|1|1|0|5
Nick Davila|SEA|6.3|0|0|1|0.0|1.11|3|0|0|0|3|4|0|24
Duncan Davitt|CHW|1.0|0|0|0|0.0|1.0|0|0|0|0|0|1|0|3
Jose Espada|BAL|1.0|0|0|0|0.0|2.0|0|0|0|0|2|0|0|4
Lazaro Estrada|TOR|4.0|0|0|0|0.0|0.5|3|0|0|0|0|2|0|14
Alec Gamboa|BOS|1.0|0|0|0|0.0|0.0|2|0|0|0|0|0|0|3
Joey Gerber|NYM|2.0|0|0|0|0.0|1.5|5|0|0|0|2|1|0|9
Domingo Gonzalez|SEA|5.7|0|0|0|0.0|1.41|5|0|0|0|5|3|0|24
Ryan Gusto|MIA|1.0|0|0|1|0.0|0.0|1|0|0|0|0|0|0|3
Austin Hedges|CLE|0.3|0|0|0|0.0|0.0|0|0|0|0|0|0|0|1
Sam Hentges|SFG|3.3|0|0|1|0.0|1.2|5|0|0|0|1|3|0|14
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Raisel Iglesias|ATL|13.7|0|8|0|0.0|0.73|17|0|0|0|7|3|0|49
William Kempner|MIA|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Jared Koenig|MIL|2.3|0|0|1|0.0|2.14|4|0|0|0|3|2|0|13
Brooks Kriske|ATH|2.7|0|0|0|0.0|1.13|2|0|0|0|2|1|0|11
Adam Macko|TOR|1.0|0|0|1|0.0|0.0|0|0|0|0|0|0|0|3
Jorge Mateo|ATL|1.0|0|0|0|0.0|1.0|0|0|0|0|1|0|0|4
Yuki Matsui|SDP|8.7|0|0|0|0.0|0.92|10|0|0|0|4|4|0|33
Zebby Matthews|MIN|7.0|1|0|0|0.0|0.71|5|0|1|0|4|1|0|25
Chayce McDermott|LAD|1.0|0|0|0|0.0|1.0|1|0|0|0|1|0|0|4
Easton McGee|MIL|2.0|0|0|0|0.0|1.0|1|0|0|0|1|1|0|6
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Anthony Molina|ATL|2.0|0|0|0|0.0|0.5|0|0|0|0|0|1|0|6
Eduardo Rivera|BOS|3.3|0|0|0|0.0|0.3|3|0|0|0|1|0|0|10
Jake Rogers|DET|1.3|0|0|0|0.0|1.5|1|0|0|0|2|0|0|6
Yacksel Ríos|CHC|1.7|0|0|0|0.0|0.0|2|0|0|0|0|0|0|5
Justin Slaten|BOS|7.0|0|0|4|0.0|0.86|9|0|0|0|4|2|0|27
Dylan Smith|SFG|0.7|0|0|0|0.0|1.5|0|0|0|0|0|1|0|3
Brock Stewart|LAD|2.0|0|0|1|0.0|0.5|3|0|0|0|0|1|0|7
Hunter Stratton|ATL|1.0|0|0|0|0.0|1.0|1|0|0|0|1|0|0|3
Garrett Stubbs|PHI|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Trent Thornton|CHC|5.0|2|0|0|0.0|0.8|3|0|0|0|3|1|0|18
Tyler Tolbert|KCR|0.7|0|0|0|0.0|1.5|0|0|0|0|1|0|0|2
Logan VanWey|HOU|2.0|0|0|0|0.0|0.5|3|0|0|0|1|0|0|7
Vince Velasquez|CHC|2.3|0|0|0|0.0|0.43|1|0|0|0|1|0|0|8
Louis Varland|TOR|23.7|2|5|3|0.38|1.18|34|0|0|1|19|9|0|95
Rico Garcia|BAL|20.0|3|3|7|0.45|0.45|24|1|0|1|2|7|0|68
Robert Suarez|ATL|19.3|4|4|5|0.47|0.88|19|0|0|1|13|4|0|74
Aroldis Chapman|BOS|16.7|0|11|0|0.54|0.84|22|0|0|1|7|7|1|64
Austin Warren|NYM|14.7|0|0|0|0.61|1.02|16|1|0|1|8|7|0|58
Kyle Hurt|LAD|13.0|0|0|1|0.69|0.69|16|0|0|1|7|2|1|48
Mason Miller|SDP|22.0|1|15|0|0.82|0.82|45|0|0|2|10|8|0|84
Shohei Ohtani|LAD|44.0|3|0|0|0.82|0.82|50|2|7|4|25|11|3|171
Hunter Brown|HOU|10.7|1|0|0|0.84|1.03|17|0|1|1|5|6|0|43
Dylan Lee|ATL|21.3|1|0|7|0.84|0.47|26|0|0|2|8|2|0|74
Ethan Roberts|CHC|9.3|0|0|0|0.96|0.96|5|0|0|1|4|5|2|35
Yennier Cano|BAL|17.0|1|0|3|1.06|0.59|12|1|0|2|7|3|0|60
Jason Adam|SDP|15.7|2|1|9|1.15|0.96|7|1|0|2|10|5|1|63
Tim Herrin|CLE|15.3|0|0|2|1.17|1.5|10|0|0|2|13|10|1|70
Tyler Samaniego|BOS|15.3|0|0|0|1.17|1.17|12|1|0|2|11|7|1|63
Antonio Senzatela|COL|28.3|3|3|1|1.27|0.81|25|1|0|4|15|8|0|105
Tyler Phillips|MIA|27.0|0|2|0|1.33|1.3|25|1|0|4|20|15|1|116
Wilber Dotel|PIT|6.7|0|0|1|1.35|0.75|4|1|0|1|2|3|0|25
Brandyn Garcia|ARI|6.7|0|0|1|1.35|0.9|7|0|0|1|5|1|1|25
Cam Schlittler|NYY|60.0|6|0|0|1.35|0.78|68|2|6|9|36|11|0|226
Matt Gage|SFG|19.3|3|1|5|1.4|1.14|13|1|0|3|11|11|0|78
Trey Yesavage|TOR|19.3|1|0|0|1.4|1.29|21|0|1|3|17|8|1|81
Jhoan Duran|PHI|12.7|1|8|0|1.42|1.03|21|0|0|2|8|5|0|50
Joel Peguero|SFG|6.3|0|0|0|1.42|0.63|1|0|0|1|2|2|2|24
Evan Sisk|PIT|19.0|0|0|1|1.42|1.0|24|0|0|3|14|5|3|76
Tim Hill|NYY|18.7|0|0|7|1.45|0.86|7|1|0|3|14|2|1|71
Brooks Raley|NYM|18.3|1|0|7|1.47|1.15|21|1|0|3|13|8|1|77
Tanner Scott|LAD|18.3|0|4|4|1.47|0.6|18|2|0|3|9|2|0|65
Spencer Arrighetti|HOU|36.0|5|0|0|1.5|1.19|35|1|3|6|22|21|4|152
Carl Edwards Jr.|NYM|6.0|0|0|0|1.5|1.17|11|1|0|1|3|4|0|25
Seth Halvorsen|COL|6.0|0|0|2|1.5|1.33|6|0|0|1|4|4|0|26
Nick Martinez|TBR|53.7|4|0|0|1.51|1.04|35|3|5|9|45|11|2|216
Ryan Fernandez|STL|5.7|1|0|0|1.59|1.59|9|0|0|1|7|2|0|26
Brian Fitzpatrick|MIL|5.7|0|0|0|1.59|1.76|4|0|0|1|7|3|0|27
Bradgley Rodriguez|SDP|22.7|0|0|3|1.59|0.88|18|0|0|4|15|5|0|88
Kendry Rojas|MIN|11.3|1|0|0|1.59|1.68|11|0|0|2|10|9|1|49
Ben Brown|CHC|33.7|1|1|2|1.6|0.86|34|1|0|6|19|10|1|129
Davis Martin|CHW|56.0|6|0|0|1.61|0.98|59|3|7|10|45|10|3|215
José A. Ferrer|SEA|22.3|0|2|5|1.61|1.3|18|0|0|4|26|3|3|98
Bryan Hudson|CHW|22.0|1|2|2|1.64|1.41|22|0|0|4|21|10|3|96
Colin Holderman|CLE|16.3|0|0|1|1.65|0.73|18|1|0|3|8|4|0|62
Kyle Finnegan|DET|21.7|1|1|5|1.66|1.48|14|2|0|4|16|16|0|89
Yerry De los Santos|NYY|5.3|0|0|0|1.69|1.31|6|1|0|1|4|3|0|21
Josh Ekness|MIA|5.3|0|1|0|1.69|1.31|5|0|0|1|2|5|0|22
DL Hall|MIL|21.3|0|0|3|1.69|1.22|24|1|0|4|10|16|1|88
Tyler Rogers|TOR|21.3|1|1|7|1.69|1.13|14|0|0|4|17|7|0|88
Chase Shugart|PHI|15.7|2|0|0|1.72|0.96|15|2|0|3|12|3|3|62
Jakob Junis|TEX|20.0|0|3|5|1.8|0.75|9|0|0|4|10|5|2|76
Caleb Kilian|SFG|20.0|1|2|2|1.8|1.1|21|3|0|4|10|12|1|82
Daniel Lynch IV|KCR|20.0|1|1|5|1.8|0.8|26|1|0|4|10|6|2|79
Cristopher Sánchez|PHI|64.3|5|0|0|1.82|1.2|80|3|7|13|63|14|1|268
Gordon Graceffo|STL|24.7|3|1|3|1.82|0.93|10|2|0|5|13|10|2|94
Juan Morillo|ARI|19.7|1|1|8|1.83|0.76|21|1|0|4|10|5|1|76
Erik Sabrowski|CLE|19.7|2|0|16|1.83|0.86|36|1|0|4|7|10|0|76
Huascar Brazobán|NYM|24.3|3|0|1|1.85|0.99|19|1|0|5|14|10|1|96
Grant Taylor|CHW|24.3|1|0|2|1.85|1.19|35|0|0|5|21|8|0|102
Chase Burns|CIN|53.0|5|0|0|1.87|1.0|55|6|6|11|35|18|0|207
Brenan Hanifee|DET|9.3|0|0|0|1.93|1.07|5|1|0|2|9|1|0|37
Chris Sale|ATL|55.0|6|0|0|1.96|0.91|64|6|8|12|36|14|5|216
Zack Wheeler|PHI|31.7|3|0|0|1.99|0.88|30|1|4|7|21|7|1|120
Daniel Palencia|CHC|9.0|1|3|0|2.0|1.22|9|1|0|2|8|3|0|37
Orlando Ribalta|WSH|9.0|0|1|1|2.0|0.67|8|0|0|2|4|2|0|32
Bryce Elder|ATL|62.7|4|0|0|2.01|0.99|56|4|7|14|42|20|2|249
Joe Mantiply|TOR|17.7|1|0|0|2.04|1.13|16|1|0|4|16|4|1|71
Payton Tolle|BOS|30.7|2|0|0|2.05|0.78|30|3|3|7|17|7|1|115
Jack Dreyer|LAD|21.7|2|0|3|2.08|0.97|24|1|0|5|15|6|1|84
Peyton Gray|TEX|13.0|0|0|1|2.08|1.23|11|0|0|3|9|7|0|56
Jacob Latz|TEX|21.7|0|5|2|2.08|0.6|17|1|0|5|8|5|0|79
Hoby Milner|CHC|21.7|1|1|3|2.08|0.97|9|2|0|5|15|6|2|86
Kyle Harrison|MIL|38.7|4|0|0|2.09|1.19|48|3|2|9|33|13|3|160
Michael McGreevy|STL|51.3|3|0|0|2.1|0.88|36|6|6|12|34|11|0|191
Jacob Misiorowski|MIL|51.0|3|0|0|2.12|0.9|80|4|4|12|29|17|5|202
Tyler Alexander|TEX|21.0|1|2|4|2.14|1.38|16|1|0|5|23|6|1|90
Orion Kerkering|PHI|16.7|2|1|1|2.16|1.14|12|2|0|4|12|7|1|70
Riley Martin|CHC|8.3|0|0|0|2.16|0.84|10|1|0|2|5|2|0|31
Aaron Ashby|MIL|29.0|8|0|1|2.17|1.31|44|1|0|7|23|15|0|121
Taylor Clarke|ARI|20.7|1|0|9|2.18|0.73|9|1|0|5|13|2|2|77
John King|MIA|20.7|1|1|3|2.18|0.68|17|2|0|5|7|7|2|77
Fernando Cruz|NYY|20.0|3|0|9|2.25|1.35|28|2|0|5|14|13|2|87
Dylan Dodd|ATL|4.0|0|1|0|2.25|1.0|4|0|0|1|3|1|0|16
Jake Eder|LAD|4.0|1|0|0|2.25|1.0|1|0|0|1|3|1|0|15
Julian Fernández|WSH|4.0|0|0|0|2.25|1.25|3|1|0|1|3|2|0|18
Martín Pérez|ATL|36.0|2|0|0|2.25|0.94|28|4|1|9|23|11|2|140
Carlos Rodriguez|MIL|4.0|0|0|0|2.25|1.25|5|1|0|1|5|0|0|17
Chase Silseth|LAA|15.7|1|0|3|2.3|1.6|14|1|0|4|13|12|1|71
Brent Headrick|NYY|23.3|3|0|5|2.31|1.29|26|2|0|6|21|9|0|99
Michael King|SDP|58.3|4|0|0|2.31|1.06|59|4|5|15|38|24|4|229
Keaton Winn|SFG|19.3|0|0|9|2.33|0.83|16|0|0|5|10|6|0|72
Parker Messick|CLE|53.7|5|0|0|2.35|0.99|58|5|4|14|39|14|1|205
Jared Shuster|STL|7.7|0|0|0|2.35|1.17|2|0|0|2|6|3|0|32
Trevor McDonald|SFG|19.0|2|0|0|2.37|1.0|17|2|2|5|16|3|2|76
Ty Madden|DET|11.3|0|0|0|2.38|0.79|12|1|0|3|7|2|0|43
Clay Holmes|NYM|52.7|4|0|0|2.39|1.1|45|3|4|14|40|18|1|215
Dylan Cease|TOR|52.3|3|0|0|2.41|1.18|75|1|4|14|41|21|3|217
José Soriano|LAA|59.7|6|0|0|2.41|1.07|67|5|5|16|38|26|1|239
Kevin Kelly|TBR|22.3|2|2|10|2.42|0.72|17|1|0|6|12|4|1|80
Gregory Soto|PIT|22.3|3|4|6|2.42|0.85|26|1|0|6|10|9|1|86
Casey Mize|DET|37.0|2|0|0|2.43|1.05|39|2|4|10|28|11|1|147
Ranger Suarez|BOS|44.3|2|0|0|2.44|0.95|40|3|3|12|31|11|0|169
Andrew Alvarez|WSH|7.3|1|0|1|2.45|1.09|10|0|0|2|7|1|0|29
Zach Eflin|BAL|3.7|0|0|0|2.45|1.64|7|1|0|1|4|2|0|17
Hogan Harris|ATH|22.0|2|3|7|2.45|1.64|24|2|0|6|19|17|1|103
Cade Horton|CHC|7.3|1|0|0|2.45|0.82|4|1|1|2|4|2|0|26
Will Klein|LAD|18.3|1|0|4|2.45|1.31|19|0|0|5|18|6|1|78
Riley O'Brien|STL|22.0|3|13|1|2.45|0.91|25|1|0|6|18|2|3|85
Spencer Strider|ATL|14.7|1|0|0|2.45|1.23|18|1|1|4|8|10|0|58
Justin Wrobleski|LAD|50.7|6|0|0|2.49|1.03|27|2|5|14|40|12|2|203
Ryan Helsley|BAL|10.7|0|7|0|2.53|1.31|15|0|0|3|7|7|0|46
Wandy Peralta|SDP|21.3|0|0|2|2.53|1.36|17|3|0|6|21|8|1|89
Eduardo Rodriguez|ARI|53.3|4|0|0|2.53|1.26|39|4|4|15|45|22|0|223
Spencer Miles|TOR|24.7|1|0|0|2.55|1.09|23|2|0|7|20|7|0|100
Eduard Bazardo|SEA|21.0|2|0|8|2.57|1.33|18|2|0|6|20|8|1|89
Shane Drohan|MIL|21.0|2|1|2|2.57|1.14|20|0|0|6|18|6|0|87
Sean Newcomb|CHW|27.7|0|1|3|2.6|1.19|25|0|0|8|25|8|3|115
Coleman Crow|MIL|10.3|0|0|0|2.61|0.77|7|0|0|3|7|1|1|40
Eli Morgan|KCR|10.3|0|1|0|2.61|1.35|9|2|0|3|8|6|0|45
Kai-Wei Teng|HOU|31.0|2|0|3|2.61|1.1|30|3|0|9|22|12|2|125
Paul Skenes|PIT|55.0|6|0|0|2.62|0.71|63|5|5|16|31|8|4|208
Lake Bachar|MIA|24.0|0|0|1|2.63|0.88|25|2|0|7|12|9|1|94
Randy Vásquez|SDP|50.3|5|0|0|2.68|1.11|45|4|4|15|43|13|3|203
Garrett Acton|MIN|6.7|1|0|0|2.7|1.05|9|0|0|2|4|3|1|28
Aaron Civale|ATH|46.7|5|0|0|2.7|1.39|35|6|1|14|51|14|1|203
Nolan Hoffman|PHI|3.3|0|0|0|2.7|1.8|2|0|0|1|5|1|0|15
Joel Kuhnel|ATH|16.7|0|4|3|2.7|1.08|8|1|0|5|14|4|1|66
