name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Enrique Hernández|LAD|4|1|2|2|0|0|0|4|4|0|0|2|0|1.0|1.0|2.25
Rafael Flores Jr.|PIT|5|1|2|2|0|0|2|2|3|0|0|1|0|0.667|0.8|2.0
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Kameron Misner|KCR|13|0|0|3|1|3|1|6|12|0|0|0|0|0.5|0.538|0.5
Jonah Cox|SFG|16|1|4|2|1|7|0|6|15|0|0|1|1|0.4|0.4|0.8
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Samad Taylor|SDP|32|1|5|8|2|9|3|10|28|0|0|1|0|0.357|0.419|0.5
Andrew Vaughn|MIL|109|2|14|18|0|11|11|34|96|0|2|9|1|0.354|0.431|0.531
Nelson Velázquez|STL|28|2|5|6|0|7|1|9|26|0|1|1|0|0.346|0.393|0.615
Otto Lopez|MIA|306|5|44|31|13|46|12|97|286|4|4|18|3|0.339|0.369|0.476
José Azócar|ATL|16|0|1|0|1|3|1|5|15|0|0|2|0|0.333|0.375|0.467
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Raynel Delgado|HOU|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Blaze Jordan|STL|15|1|2|4|0|2|0|5|15|0|0|0|1|0.333|0.333|0.667
Nick Madrigal|LAA|43|0|7|2|1|2|6|12|36|0|1|1|0|0.333|0.442|0.361
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Anthony Seigler|BOS|4|0|0|0|0|1|1|1|3|0|0|1|0|0.333|0.5|0.667
LaMonte Wade Jr.|HOU|13|1|2|4|0|3|1|4|12|0|0|2|0|0.333|0.385|0.75
Will Wagner|SDP|17|0|2|0|0|3|5|4|12|0|0|1|0|0.333|0.529|0.417
Jung Hoo Lee|SFG|261|3|35|24|3|25|11|81|245|2|3|15|2|0.331|0.364|0.445
Yordan Alvarez|HOU|318|24|49|54|1|54|46|87|265|2|5|14|0|0.328|0.434|0.653
Henry Bolte|ATH|105|1|10|7|5|29|7|30|92|1|5|5|0|0.326|0.4|0.413
Jose Siri|LAA|54|3|12|12|0|14|5|15|46|0|1|3|0|0.326|0.404|0.587
Brandon Marsh|PHI|258|8|37|32|6|62|12|78|241|3|2|13|2|0.324|0.357|0.494
Jackson Chourio|MIL|165|9|27|26|5|40|12|49|152|1|0|11|0|0.322|0.37|0.572
Luis Arraez|SFG|306|2|35|26|5|13|15|88|276|7|3|14|6|0.319|0.352|0.435
Bryce Eldridge|SFG|121|5|18|14|0|25|16|33|104|1|0|9|0|0.317|0.405|0.548
Troy Johnston|COL|257|3|30|34|4|45|19|73|231|2|4|21|0|0.316|0.375|0.446
Yandy Díaz|TBR|291|12|34|46|1|36|27|80|255|2|7|11|1|0.314|0.392|0.506
Nathan Lukes|TOR|131|1|14|13|0|22|6|37|119|1|4|7|0|0.311|0.362|0.395
Donovan Walton|LAA|62|2|10|5|0|11|3|18|58|0|0|4|0|0.31|0.344|0.483
Cody Freeman|TEX|14|0|1|0|0|4|1|4|13|0|0|0|0|0.308|0.357|0.308
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Ernie Clement|TOR|287|7|34|28|2|28|9|84|276|2|0|20|1|0.304|0.324|0.46
Willson Contreras|BOS|278|16|34|43|1|69|25|72|237|3|13|11|2|0.304|0.396|0.57
Michael Harris II|ATL|258|14|34|41|3|52|12|74|244|1|1|9|0|0.303|0.337|0.512
Drake Baldwin|ATL|216|13|39|38|1|44|24|57|188|1|3|6|0|0.303|0.389|0.543
Blaze Alexander|BAL|170|2|19|19|7|39|10|46|152|1|3|10|1|0.303|0.355|0.421
Josh Jung|TEX|285|8|32|30|1|46|21|78|258|2|4|16|0|0.302|0.361|0.457
Jake Mangum|PIT|159|1|19|12|13|27|10|43|143|1|2|5|0|0.301|0.353|0.357
Alika Williams|ATH|43|1|6|5|0|10|2|12|40|0|0|4|0|0.3|0.333|0.475
Ryan Vilade|TBR|123|4|11|25|3|22|12|32|107|3|0|5|1|0.299|0.361|0.477
Daniel Susac|SFG|98|0|5|13|1|21|6|26|87|1|2|5|1|0.299|0.354|0.379
Shohei Ohtani|LAD|313|14|50|41|6|71|51|75|252|3|5|15|2|0.298|0.421|0.54
Elias Díaz|TEX|38|2|6|7|0|7|1|11|37|0|0|3|0|0.297|0.316|0.541
Jordan Walker|STL|297|18|46|56|10|76|21|81|273|1|2|16|0|0.297|0.35|0.553
Tyler Callihan|PIT|34|2|6|6|1|7|6|8|27|0|1|2|1|0.296|0.441|0.667
Jordan Lawlar|ARI|33|1|4|4|4|8|3|8|27|0|3|1|0|0.296|0.424|0.444
Riley Greene|DET|302|8|36|33|1|86|38|77|260|2|2|16|0|0.296|0.387|0.45
Nick Gonzales|PIT|271|2|38|31|4|47|16|74|250|1|4|11|0|0.296|0.347|0.364
Xavier Edwards|MIA|309|6|43|25|11|39|38|79|267|3|0|11|4|0.296|0.38|0.434
Ryan Jeffers|MIN|148|7|26|26|1|23|23|36|122|1|1|7|1|0.295|0.408|0.541
Paul Goldschmidt|NYY|175|9|24|31|1|31|15|46|156|1|3|8|1|0.295|0.366|0.532
William Contreras|MIL|287|6|39|43|1|37|24|76|258|4|1|12|0|0.295|0.352|0.411
Carlos Cortes|ATH|195|6|17|21|1|20|21|50|170|1|3|9|1|0.294|0.379|0.465
Brandon Lockridge|MIL|96|0|9|12|5|25|10|25|85|0|0|4|0|0.294|0.368|0.341
Tristan Peters|CHW|197|3|21|21|4|37|14|52|177|0|2|15|2|0.294|0.352|0.452
Nick Kurtz|ATH|325|18|51|57|7|91|67|75|256|0|2|13|1|0.293|0.443|0.563
Ben Rice|NYY|279|19|51|47|2|65|36|70|239|2|2|15|2|0.293|0.387|0.611
Wade Meckler|LAA|72|2|10|12|2|14|7|19|65|0|0|5|0|0.292|0.361|0.462
Yohendrick Piñango|TOR|128|4|9|18|0|28|8|35|120|0|0|6|0|0.292|0.336|0.442
Randy Arozarena|SEA|302|7|47|33|19|66|28|76|261|3|10|18|1|0.291|0.377|0.448
Eloy Jiménez|TOR|35|0|2|3|0|7|3|9|31|1|0|0|0|0.29|0.343|0.29
Juan Soto|NYM|235|15|32|34|6|31|33|58|200|1|0|6|1|0.29|0.389|0.555
Luis Campusano|SDP|58|3|9|10|0|15|5|15|52|0|1|7|0|0.288|0.362|0.596
Jorge Mateo|ATL|100|4|24|11|7|29|6|27|94|0|0|5|0|0.287|0.33|0.468
