name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Enrique Hernández|LAD|4|1|2|2|0|0|0|4|4|0|0|2|0|1.0|1.0|2.25
Trey Mancini|LAA|4|0|1|1|0|0|0|3|4|0|0|0|0|0.75|0.75|0.75
Cody Freeman|TEX|2|0|0|0|0|1|0|1|2|0|0|0|0|0.5|0.5|0.5
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Jonah Cox|SFG|11|1|4|2|1|4|0|4|10|0|0|1|0|0.4|0.4|0.8
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Nelson Velázquez|STL|20|1|4|4|0|4|1|7|18|0|1|1|0|0.389|0.45|0.611
Jose Siri|LAA|35|2|11|9|0|10|2|12|32|0|0|3|0|0.375|0.412|0.656
Samad Taylor|SDP|10|0|3|3|1|3|2|3|8|0|0|0|0|0.375|0.5|0.375
Andrew Vaughn|MIL|96|2|14|17|0|10|6|32|88|0|2|9|1|0.364|0.417|0.557
Nick Madrigal|LAA|31|0|5|1|0|2|4|9|26|0|1|1|0|0.346|0.452|0.385
Otto Lopez|MIA|274|5|36|27|10|44|10|86|256|4|4|16|3|0.336|0.365|0.48
José Azócar|ATL|16|0|1|0|1|3|1|5|15|0|0|2|0|0.333|0.375|0.467
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Jung Hoo Lee|SFG|240|3|32|22|2|24|10|75|225|2|3|14|2|0.333|0.367|0.453
Brandon Marsh|PHI|232|8|34|30|5|53|11|72|216|3|2|11|2|0.333|0.366|0.514
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Wade Meckler|LAA|55|2|7|10|2|10|4|17|51|0|0|4|0|0.333|0.382|0.529
Anthony Seigler|BOS|4|0|0|0|0|1|1|1|3|0|0|1|0|0.333|0.5|0.667
LaMonte Wade Jr.|HOU|13|1|2|4|0|3|1|4|12|0|0|2|0|0.333|0.385|0.75
Yandy Díaz|TBR|263|12|33|44|1|33|23|75|231|2|7|11|1|0.325|0.399|0.537
Luis Arraez|SFG|282|2|33|25|5|13|15|82|253|7|3|13|4|0.324|0.36|0.431
Troy Johnston|COL|228|2|25|28|4|44|17|65|207|1|2|18|0|0.314|0.37|0.43
Nathan Lukes|TOR|109|1|12|12|0|15|4|31|99|1|4|6|0|0.313|0.361|0.404
Josh Jung|TEX|253|8|31|29|1|38|18|72|230|2|3|16|0|0.313|0.368|0.487
Carlos Cortes|ATH|178|5|15|17|1|17|21|48|154|1|2|9|1|0.312|0.399|0.481
Yordan Alvarez|HOU|293|22|46|48|1|52|45|75|241|2|5|13|0|0.311|0.427|0.639
Nick Gonzales|PIT|242|2|34|31|3|42|15|69|223|1|3|11|0|0.309|0.36|0.386
Ernie Clement|TOR|265|7|31|26|2|25|8|79|256|1|0|19|1|0.309|0.328|0.473
Tristan Peters|CHW|182|2|19|18|4|33|13|50|163|0|2|15|1|0.307|0.365|0.448
Michael Harris II|ATL|235|13|30|40|3|44|11|68|222|1|1|9|0|0.306|0.34|0.523
Riley Greene|DET|275|6|33|29|1|76|34|73|239|0|2|16|0|0.305|0.396|0.448
Yohendrick Piñango|TOR|111|4|9|18|0|24|6|32|105|0|0|5|0|0.305|0.342|0.467
Jackson Chourio|MIL|141|4|22|17|5|37|12|39|128|1|0|11|0|0.305|0.362|0.484
Ben Rice|NYY|255|18|49|45|2|60|34|66|217|2|2|15|2|0.304|0.4|0.641
Drake Baldwin|ATL|216|13|39|38|1|44|24|57|188|1|3|6|0|0.303|0.389|0.543
Jordan Walker|STL|265|16|44|47|10|69|21|73|241|1|2|14|0|0.303|0.362|0.56
Dominic Smith|ATL|153|6|24|28|0|22|9|42|139|3|1|4|1|0.302|0.342|0.475
Xavier Edwards|MIA|280|6|41|20|11|34|34|74|245|0|0|11|4|0.302|0.387|0.453
Shohei Ohtani|LAD|284|11|44|35|6|64|43|70|232|3|5|14|2|0.302|0.417|0.522
Orlando Arcia|MIN|42|1|6|2|0|6|2|12|40|0|0|1|0|0.3|0.333|0.4
Mickey Gasper|BOS|77|0|10|5|0|19|4|21|70|1|1|3|1|0.3|0.342|0.371
Jacob Gonzalez|CHW|23|1|2|4|0|7|3|6|20|0|0|0|0|0.3|0.391|0.45
Lars Nootbaar|STL|13|1|2|3|0|3|3|3|10|0|0|1|0|0.3|0.462|0.7
Henry Bolte|ATH|85|0|6|5|4|26|7|22|74|1|3|4|0|0.297|0.376|0.351
Daniel Susac|SFG|83|0|4|11|0|19|5|22|74|1|2|4|1|0.297|0.354|0.378
Ryan Jeffers|MIN|148|7|26|26|1|23|23|36|122|1|1|7|1|0.295|0.408|0.541
Blake Dunn|CIN|101|2|13|5|3|22|5|28|95|0|1|4|1|0.295|0.337|0.421
Brandon Lockridge|MIL|96|0|9|12|5|25|10|25|85|0|0|4|0|0.294|0.368|0.341
Jorge Mateo|ATL|91|4|23|11|7|26|6|25|85|0|0|4|0|0.294|0.341|0.482
Willson Contreras|BOS|257|13|29|39|1|64|25|64|218|3|11|9|2|0.294|0.389|0.532
Ezequiel Duran|TEX|203|4|26|35|5|47|16|54|184|2|0|14|2|0.293|0.347|0.457
Randy Arozarena|SEA|286|6|43|30|18|63|27|72|246|3|10|18|1|0.293|0.381|0.447
Jacob Wilson|ATH|168|3|18|19|2|20|5|47|161|1|0|8|0|0.292|0.311|0.398
Kevin McGonigle|DET|277|4|40|24|9|36|38|69|237|0|2|14|3|0.291|0.394|0.426
Jared Young|NYM|64|3|8|7|0|16|7|16|55|1|1|3|0|0.291|0.375|0.509
Jake Mangum|PIT|132|1|17|9|11|24|9|34|117|1|2|3|0|0.291|0.349|0.342
Alec Burleson|STL|270|8|32|43|2|41|25|70|241|2|2|16|0|0.29|0.359|0.456
William Contreras|MIL|269|6|37|42|1|34|23|70|241|4|1|10|0|0.29|0.349|0.407
Eloy Jiménez|TOR|35|0|2|3|0|7|3|9|31|1|0|0|0|0.29|0.343|0.29
Ryan Vilade|TBR|107|3|9|22|3|20|11|27|93|2|0|4|1|0.29|0.358|0.452
CJ Abrams|WSH|283|14|42|51|10|57|29|70|242|3|9|13|2|0.289|0.382|0.533
Luis Campusano|SDP|58|3|9|10|0|15|5|15|52|0|1|7|0|0.288|0.362|0.596
Jhonny Pereda|SEA|57|2|7|4|0|8|4|15|52|0|1|0|0|0.288|0.351|0.404
Jeremy Peña|HOU|132|3|23|12|5|19|10|34|118|1|3|7|0|0.288|0.356|0.424
Taylor Trammell|HOU|73|0|8|6|1|24|5|19|66|0|1|4|1|0.288|0.347|0.379
Bryce Eldridge|SFG|99|2|14|7|0|23|11|25|87|1|0|8|0|0.287|0.364|0.448
Dalton Rushing|LAD|113|8|18|21|0|27|9|29|101|0|3|4|0|0.287|0.363|0.564
Jesús Sánchez|TOR|200|6|21|28|1|41|7|53|185|4|4|12|0|0.286|0.32|0.449
Blaze Alexander|BAL|156|2|18|18|7|38|10|40|140|1|2|8|1|0.286|0.34|0.4
Sam Antonacci|CHW|191|1|29|15|8|28|12|46|161|1|15|8|2|0.286|0.386|0.379
Jake Bauers|MIL|226|12|38|43|5|50|28|56|196|0|2|12|0|0.286|0.381|0.531
Deyvison De Los Santos|MIA|7|0|0|0|0|3|0|2|7|0|0|1|0|0.286|0.286|0.429
Kyle Farmer|ATL|15|0|2|3|0|4|0|4|14|1|0|1|0|0.286|0.267|0.357
Spencer Horwitz|PIT|235|8|26|27|1|29|33|56|196|4|2|8|1|0.286|0.387|0.459
Ryan Mountcastle|BAL|15|0|0|1|0|2|1|4|14|0|0|1|0|0.286|0.333|0.357
Ryan O'Hearn|PIT|206|9|30|33|1|41|20|52|182|2|2|6|0|0.286|0.359|0.467
Ceddanne Rafaela|BOS|237|5|25|24|6|48|14|62|217|0|6|12|2|0.286|0.346|0.429
Joey Wiemer|WSH|83|3|16|12|1|29|12|20|70|0|1|5|1|0.286|0.398|0.514
Shea Langeliers|ATH|275|17|43|35|1|53|21|71|249|1|4|13|0|0.285|0.349|0.542
Corbin Carroll|ARI|264|10|41|31|7|57|32|65|228|2|2|15|8|0.285|0.375|0.553
Brayan Rocchio|CLE|243|5|28|30|11|29|21|60|211|2|7|9|1|0.284|0.365|0.408
Casey Schmitt|SFG|251|15|31|38|5|49|7|67|236|3|5|12|1|0.284|0.315|0.534
Andy Pages|LAD|270|14|38|53|7|52|17|70|247|4|2|15|1|0.283|0.33|0.522
Christian Yelich|MIL|153|4|28|20|5|44|14|39|138|0|1|7|1|0.283|0.353|0.435
Jake McCarthy|COL|188|4|22|26|11|37|11|48|170|3|1|11|3|0.282|0.324|0.453
Vladimir Guerrero Jr.|TOR|274|3|38|25|5|29|32|66|234|4|4|11|0|0.282|0.372|0.368
Nick Kurtz|ATH|297|14|45|48|7|87|61|66|234|0|2|12|1|0.282|0.434|0.521
Ildemaro Vargas|ARI|227|7|30|37|1|21|8|60|214|1|2|9|2|0.28|0.311|0.439
Freddie Freeman|LAD|274|10|33|35|2|46|31|67|239|3|1|15|1|0.28|0.361|0.477
Carson Kelly|CHC|175|2|19|18|0|30|15|44|157|0|3|6|0|0.28|0.354|0.357
Elly De La Cruz|CIN|257|12|40|37|10|76|22|65|232|1|2|13|2|0.28|0.346|0.509
