name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Logan Allen|CLE|4.0|0|0|0|0.0|1.5|7|0|0|0|5|1|0|19
Tanner Andrews|TOR|3.0|0|0|0|0.0|1.0|1|0|0|0|1|2|0|11
Ty Blach|CHC|3.0|0|0|0|0.0|0.33|2|0|0|0|1|0|0|9
Tyler Callihan|PIT|2.0|0|0|0|0.0|2.5|0|0|0|0|2|3|0|11
Eiberson Castellano|COL|3.0|0|1|0|0.0|1.33|2|0|0|0|4|0|1|12
Jeff Criswell|COL|2.0|0|0|0|0.0|1.5|2|0|0|0|1|2|0|9
Yovanny Cruz|NYY|4.3|0|0|0|0.0|0.23|6|0|0|0|1|0|1|15
Duncan Davitt|CHW|1.0|0|0|0|0.0|1.0|0|0|0|0|0|1|0|3
Daniel Duarte|NYM|5.0|0|0|0|0.0|0.4|3|0|0|0|1|1|0|15
Jose Espada|BAL|1.0|0|0|0|0.0|2.0|0|0|0|0|2|0|0|4
Michael Grove|TBR|3.0|1|0|0|0.0|0.33|4|0|0|0|1|0|0|10
Sam Haggerty|TEX|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|1|3
Welinton Herrera|COL|2.3|0|0|0|0.0|1.29|2|0|0|0|2|1|0|10
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Gabriel Hughes|COL|3.0|0|1|0|0.0|1.0|1|0|0|0|2|1|0|11
William Kempner|MIA|10.0|1|0|0|0.0|0.5|11|0|0|0|3|2|1|36
Jared Koenig|MIL|4.7|0|0|1|0.0|2.14|5|0|0|0|6|4|0|24
Brooks Kriske|ATH|2.7|0|0|0|0.0|1.13|2|0|0|0|2|1|0|11
Jorge Mateo|ATL|1.0|0|0|0|0.0|1.0|0|0|0|0|1|0|0|4
Easton McGee|MIL|2.0|0|0|0|0.0|1.0|1|0|0|0|1|1|0|6
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Victor Mederos|ATL|2.0|0|0|0|0.0|0.5|0|0|0|0|0|1|0|6
Jake Meyers|HOU|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Eduardo Rivera|BOS|3.3|0|0|0|0.0|0.3|3|0|0|0|1|0|0|10
Jake Rogers|DET|1.3|0|0|0|0.0|1.5|1|0|0|0|2|0|0|6
Yacksel Ríos|CHC|1.7|0|0|0|0.0|0.0|2|0|0|0|0|0|0|5
Max Schuemann|NYY|1.0|0|0|0|0.0|2.0|0|0|0|0|1|1|0|5
Zack Short|NYM|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Garrett Stallings|MIL|1.0|0|0|0|0.0|2.0|1|0|0|0|1|1|0|5
Hunter Stratton|ATL|1.0|0|0|0|0.0|1.0|1|0|0|0|1|0|0|3
Myles Straw|TOR|1.3|0|0|0|0.0|3.75|0|0|0|0|4|1|0|9
Garrett Stubbs|PHI|1.3|0|0|0|0.0|0.0|0|0|0|0|0|0|0|4
Miguel Ullola|HOU|4.0|0|0|0|0.0|0.5|7|0|0|0|2|0|0|14
Ildemaro Vargas|ARI|1.7|0|0|0|0.0|1.2|0|0|0|0|0|2|0|6
Vince Velasquez|CHC|3.3|0|0|0|0.0|0.3|1|0|0|0|1|0|0|11
Cameron Weston|BAL|1.0|0|0|0|0.0|1.0|1|0|0|0|0|1|0|3
Danny Young|ATL|0.7|0|0|1|0.0|1.5|0|0|0|0|0|1|0|3
Matt Brash|SEA|16.7|3|0|6|0.54|0.84|15|0|0|1|8|6|3|64
Robert Suarez|ATL|32.0|4|4|12|0.56|0.84|26|1|0|2|21|6|0|121
A.J. Minter|NYM|15.0|1|0|1|0.6|0.6|11|1|0|1|8|1|0|54
Josh Hader|HOU|13.0|2|8|0|0.69|0.54|21|1|0|1|2|5|0|46
Alimber Santa|HOU|12.7|0|0|0|0.71|0.79|8|0|0|1|5|5|0|47
Mason Miller|SDP|34.7|2|21|0|0.78|0.84|66|0|0|3|16|13|0|132
Samy Natera Jr.|LAA|10.7|0|1|1|0.84|0.84|15|0|0|1|3|6|0|41
Louis Varland|TOR|47.0|3|18|5|0.96|0.96|65|1|0|5|32|13|0|181
Yerry De los Santos|NYY|8.7|0|0|0|1.04|1.38|7|1|0|1|8|4|0|38
Joey Gerber|NYM|7.7|0|0|0|1.17|0.91|8|0|0|1|5|2|0|29
Adam Macko|TOR|14.7|2|0|3|1.23|1.23|15|1|0|2|12|6|1|61
Brian Fitzpatrick|MIL|6.7|0|0|0|1.35|1.5|5|0|0|1|7|3|0|30
Jacob Misiorowski|MIL|104.0|9|0|0|1.47|0.78|156|7|11|17|54|27|7|397
Brent Headrick|NYY|42.3|4|0|9|1.49|1.16|45|2|0|7|33|16|0|173
Carl Edwards Jr.|NYM|6.0|0|0|0|1.5|1.17|11|1|0|1|3|4|0|25
Ryan Fernandez|STL|12.0|1|0|1|1.5|1.33|18|1|0|2|9|7|0|52
Brock Stewart|LAD|6.0|0|0|1|1.5|1.0|5|1|0|1|3|3|0|23
Logan VanWey|HOU|6.0|1|0|0|1.5|0.83|5|0|0|1|5|0|0|22
Jhoan Duran|PHI|29.7|1|21|0|1.52|0.94|45|1|0|5|22|6|0|114
Raisel Iglesias|ATL|29.3|0|17|0|1.53|1.06|32|1|0|5|25|6|0|114
Cam Booser|TBR|11.3|0|0|2|1.59|0.97|12|2|0|2|7|4|0|44
