name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Enrique Hernández|LAD|4|1|2|2|0|0|0|4|4|0|0|2|0|1.0|1.0|2.25
Joshua Kuroda-Grauer|ATH|4|0|1|1|0|0|0|3|4|0|0|1|0|0.75|0.75|1.0
Rafael Flores Jr.|PIT|5|1|2|2|0|0|2|2|3|0|0|1|0|0.667|0.8|2.0
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Justin Dean|CHC|4|0|2|3|0|1|0|2|4|0|0|0|1|0.5|0.5|1.0
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Anthony Seigler|BOS|40|1|6|3|1|7|4|13|36|0|0|4|0|0.361|0.425|0.556
Andrew Vaughn|MIL|144|2|17|24|0|14|17|42|124|1|2|13|2|0.339|0.424|0.524
Yandy Díaz|TBR|341|12|45|53|1|45|34|99|295|3|9|15|1|0.336|0.416|0.515
José Azócar|ATL|16|0|1|0|1|3|1|5|15|0|0|2|0|0.333|0.375|0.467
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Cameron Cauley|TEX|4|0|2|0|0|0|1|1|3|0|0|0|1|0.333|0.5|1.0
Tommy Edman|LAD|37|0|1|4|0|7|4|11|33|0|0|2|1|0.333|0.405|0.455
Otto Lopez|MIA|358|7|53|37|16|50|16|111|333|5|4|22|4|0.333|0.366|0.486
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Luis Urías|TOR|14|1|2|2|0|2|2|4|12|0|0|1|0|0.333|0.429|0.667
LaMonte Wade Jr.|HOU|13|1|2|4|0|3|1|4|12|0|0|2|0|0.333|0.385|0.75
Luis Arraez|SFG|349|3|42|31|6|13|19|102|313|8|3|18|6|0.326|0.362|0.45
Brandon Marsh|PHI|314|14|48|44|8|82|14|95|295|3|2|15|2|0.322|0.354|0.529
Nicky Lopez|TEX|93|1|9|7|3|15|3|28|87|0|1|1|0|0.322|0.352|0.368
Jung Hoo Lee|SFG|306|5|41|31|5|29|13|92|287|3|3|19|3|0.321|0.353|0.46
Samad Taylor|SDP|84|1|12|11|6|25|10|23|72|0|0|1|0|0.319|0.402|0.375
Alex Jackson|MIN|46|0|5|3|0|13|0|14|44|0|2|3|0|0.318|0.348|0.386
Donovan Walton|LAA|89|3|13|12|0|17|3|27|85|0|0|7|0|0.318|0.341|0.506
Jordan Lawlar|ARI|44|1|6|4|4|10|3|12|38|0|3|2|0|0.316|0.409|0.447
Troy Johnston|COL|284|3|31|36|4|49|24|79|253|2|4|22|0|0.312|0.378|0.435
Yordan Alvarez|HOU|370|25|58|56|1|64|58|94|305|2|5|16|0|0.308|0.424|0.607
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Jake McCarthy|COL|250|6|31|36|13|44|14|70|229|3|1|16|5|0.306|0.344|0.498
Nathan Lukes|TOR|174|4|18|17|0|27|9|48|158|1|4|8|0|0.304|0.355|0.43
Alika Williams|ATH|66|1|10|7|0|19|2|19|63|0|0|6|0|0.302|0.323|0.444
Juan Soto|NYM|281|17|38|39|6|35|43|71|236|1|0|8|2|0.301|0.407|0.568
Ernie Clement|TOR|327|7|37|28|2|33|11|94|314|2|0|21|1|0.299|0.321|0.439
William Contreras|MIL|336|9|46|50|1|45|31|89|299|4|2|12|0|0.298|0.363|0.428
Blaze Alexander|BAL|207|3|23|25|8|47|14|55|185|1|3|12|1|0.297|0.355|0.422
Michael Harris II|ATL|292|14|37|43|5|59|13|82|276|2|1|13|0|0.297|0.329|0.496
Shohei Ohtani|LAD|359|18|60|50|6|83|55|87|293|4|5|15|2|0.297|0.412|0.546
Xavier Edwards|MIA|356|6|46|29|13|44|42|92|310|3|0|12|5|0.297|0.377|0.426
Jake Mangum|PIT|206|1|24|14|14|38|11|56|189|1|2|8|0|0.296|0.34|0.354
Ryan Jeffers|MIN|148|7|26|26|1|23|23|36|122|1|1|7|1|0.295|0.408|0.541
Jeremy Peña|HOU|202|6|34|21|8|35|15|54|183|1|3|9|0|0.295|0.356|0.443
Henry Bolte|ATH|162|2|14|13|11|45|14|41|139|2|6|6|0|0.295|0.379|0.381
Nick Gonzales|PIT|319|3|44|35|4|60|20|86|292|1|6|11|1|0.295|0.351|0.37
Josh Jung|TEX|341|8|39|31|1|61|25|91|309|2|5|20|0|0.294|0.355|0.437
Brandon Lockridge|MIL|96|0|9|12|5|25|10|25|85|0|0|4|0|0.294|0.368|0.341
Lars Nootbaar|STL|81|2|12|7|0|17|12|20|68|1|0|4|1|0.294|0.395|0.471
TJ Rumfield|COL|333|12|37|45|0|48|32|86|293|2|6|17|2|0.294|0.372|0.488
Junior Caminero|TBR|354|22|52|49|0|62|47|89|305|2|0|12|0|0.292|0.384|0.548
Sam Antonacci|CHW|263|4|43|22|11|39|20|65|223|1|17|11|2|0.291|0.391|0.413
Jackson Chourio|MIL|224|11|33|31|6|54|16|60|206|1|1|14|0|0.291|0.344|0.519
Freddie Freeman|LAD|359|13|47|46|2|59|43|90|310|3|3|21|1|0.29|0.379|0.49
Eloy Jiménez|TOR|35|0|2|3|0|7|3|9|31|1|0|0|0|0.29|0.343|0.29
Jordan Walker|STL|338|18|47|58|10|87|24|90|310|2|2|16|0|0.29|0.343|0.516
Esmerlyn Valdez|PIT|50|6|10|12|0|19|5|13|45|0|0|4|0|0.289|0.36|0.778
Ryan Kreidler|MIN|108|5|17|21|0|18|10|28|97|0|1|3|2|0.289|0.361|0.515
Luis Campusano|SDP|58|3|9|10|0|15|5|15|52|0|1|7|0|0.288|0.362|0.596
Elias Díaz|TEX|61|2|7|13|0|13|1|17|59|1|0|5|0|0.288|0.295|0.475
Bobby Witt Jr.|KCR|350|10|42|33|28|60|37|89|309|3|1|20|1|0.288|0.363|0.456
Ryan O'Hearn|PIT|289|13|40|51|1|64|21|76|264|2|2|11|0|0.288|0.343|0.477
Casey Schmitt|SFG|317|16|37|43|7|61|7|86|300|4|6|15|1|0.287|0.312|0.503
Trevor Larnach|MIN|253|5|37|27|2|45|29|63|220|0|3|15|1|0.286|0.377|0.432
Jonathan Aranda|TBR|349|13|42|57|0|78|47|83|290|6|6|13|0|0.286|0.39|0.466
Victor Bericoto|SFG|36|3|4|4|0|10|1|10|35|0|0|1|0|0.286|0.306|0.571
Drew Cavanaugh|SFG|8|0|0|1|0|1|1|2|7|0|0|0|0|0.286|0.375|0.286
Deyvison De Los Santos|MIA|7|0|0|0|0|3|0|2|7|0|0|1|0|0.286|0.286|0.429
Kyle Farmer|ATL|15|0|2|3|0|4|0|4|14|1|0|1|0|0.286|0.267|0.357
Ryan Mountcastle|BAL|15|0|0|1|0|2|1|4|14|0|0|1|0|0.286|0.333|0.357
Ali Sánchez|NYY|23|0|2|3|0|7|1|6|21|0|1|2|0|0.286|0.348|0.381
Kahlil Watson|CLE|36|1|2|8|2|11|1|10|35|0|0|2|0|0.286|0.306|0.429
Joey Wiemer|WSH|83|3|16|12|1|29|12|20|70|0|1|5|1|0.286|0.398|0.514
Riley Greene|DET|353|9|41|34|1|95|44|87|305|2|2|17|0|0.285|0.377|0.43
Bryan Reynolds|PIT|368|11|58|52|5|79|56|87|305|2|5|20|2|0.285|0.402|0.472
Bryce Eldridge|SFG|167|6|23|16|0|37|22|41|144|1|0|11|0|0.285|0.377|0.486
Pete Crow-Armstrong|CHC|369|17|52|45|20|96|38|91|320|2|8|13|4|0.284|0.372|0.509
Kevin McGonigle|DET|363|6|52|30|11|50|54|87|306|0|3|18|3|0.284|0.397|0.422
Wade Meckler|LAA|115|2|15|15|2|26|13|29|102|0|0|7|0|0.284|0.365|0.412
Paul Goldschmidt|NYY|229|14|31|41|1|47|17|59|208|1|3|9|1|0.284|0.345|0.538
Ceddanne Rafaela|BOS|315|7|35|35|10|61|15|83|293|0|6|18|3|0.283|0.331|0.437
Tristan Peters|CHW|237|4|29|30|5|43|17|60|212|1|3|17|2|0.283|0.343|0.439
Zack Gelof|ATH|228|11|40|29|8|55|14|59|209|0|3|10|1|0.282|0.336|0.498
Willson Contreras|BOS|335|18|41|53|1|87|31|81|287|3|14|14|2|0.282|0.376|0.533
Fernando Tatis Jr.|SDP|358|3|35|31|19|72|30|90|319|5|3|15|1|0.282|0.345|0.364
Blake Dunn|CIN|155|2|20|7|6|33|10|40|142|1|2|7|1|0.282|0.335|0.387
Kameron Misner|KCR|34|0|1|4|3|13|1|9|32|0|0|1|0|0.281|0.303|0.313
Spencer Horwitz|PIT|295|10|36|33|1|40|40|69|246|4|5|11|1|0.28|0.386|0.455
Gleyber Torres|DET|190|4|26|18|0|33|29|44|157|2|2|6|0|0.28|0.395|0.395
Jonah Cox|SFG|28|1|5|3|3|14|0|7|25|0|0|1|1|0.28|0.28|0.52
Raynel Delgado|HOU|27|1|2|4|0|4|1|7|25|0|0|0|0|0.28|0.308|0.4
Alec Burleson|STL|348|13|42|57|2|50|30|87|311|3|4|20|1|0.28|0.348|0.476
Randy Arozarena|SEA|331|8|49|36|19|73|30|80|286|3|12|19|1|0.28|0.369|0.437
Luis García Jr.|WSH|274|16|38|55|2|41|12|73|261|1|0|14|3|0.28|0.31|0.54
Teoscar Hernández|LAD|209|7|31|31|2|58|19|52|186|2|2|8|0|0.28|0.349|0.435
Connor Wong|BOS|110|1|12|14|2|23|11|26|93|1|3|8|0|0.28|0.37|0.398
Dominic Smith|ATL|198|6|26|32|0|26|12|50|179|5|1|5|1|0.279|0.32|0.419
Carlos Correa|HOU|141|3|22|16|1|26|18|34|122|1|0|8|0|0.279|0.369|0.418
Nick Kurtz|ATH|381|19|59|64|7|115|74|85|305|0|2|15|1|0.279|0.423|0.521
Keibert Ruiz|WSH|186|6|24|30|2|25|6|49|176|2|2|15|0|0.278|0.306|0.466
Liam Hicks|MIA|288|13|40|53|1|28|29|69|248|5|5|7|1|0.278|0.359|0.472
Wyatt Langford|TEX|173|8|23|20|6|37|10|45|162|0|1|8|2|0.278|0.324|0.5
Nelson Velázquez|STL|40|2|6|6|0|10|3|10|36|0|1|2|0|0.278|0.35|0.5
Isiah Kiner-Falefa|BOS|132|2|19|13|7|18|12|33|119|0|0|4|0|0.277|0.344|0.361
Miguel Rojas|LAD|135|2|14|13|0|14|9|33|119|3|2|7|0|0.277|0.331|0.387
Chase Meidroth|CHW|343|6|49|27|2|84|31|84|303|2|2|15|0|0.277|0.346|0.386
Jacob Wilson|ATH|214|4|23|26|2|25|10|56|202|1|0|10|0|0.277|0.31|0.386
Edwin Arroyo|CIN|73|0|9|4|0|16|3|18|65|1|3|3|0|0.277|0.333|0.323
Ryan Vilade|TBR|139|5|12|27|3|28|12|34|123|3|0|6|1|0.276|0.333|0.463
Carson Kelly|CHC|218|4|30|29|0|35|23|53|192|0|3|10|0|0.276|0.362|0.391
Gabriel Moreno|ARI|223|6|26|26|4|36|24|53|192|4|3|12|0|0.276|0.359|0.432
Justin Foscue|TEX|97|5|11|15|0|23|7|24|87|1|2|6|0|0.276|0.34|0.517
Konnor Griffin|PIT|223|5|32|23|15|58|14|56|203|2|4|10|2|0.276|0.332|0.419
Matt Olson|ATL|357|20|54|52|2|82|34|88|319|3|1|21|0|0.276|0.345|0.53
Corbin Carroll|ARI|345|13|48|43|9|74|38|83|301|2|4|17|10|0.276|0.362|0.528
Tyler Freeman|COL|213|3|25|22|5|28|9|51|185|0|14|6|1|0.276|0.356|0.368
A.J. Ewing|NYM|173|4|17|19|8|42|20|41|149|1|1|7|1|0.275|0.363|0.416
Bryce Harper|PHI|355|20|56|53|5|68|51|82|298|6|0|14|2|0.275|0.375|0.537
Taylor Trammell|HOU|101|3|12|11|1|34|8|25|91|0|1|5|1|0.275|0.34|0.451
CJ Abrams|WSH|350|17|51|59|13|76|31|84|306|3|10|16|2|0.275|0.357|0.507
Jesús Sánchez|TOR|234|7|22|29|1|52|10|59|215|4|5|14|0|0.274|0.316|0.437
Ozzie Albies|ATL|351|12|51|44|1|40|24|86|314|9|4|14|0|0.274|0.325|0.433
Brendan Donovan|SEA|101|3|9|8|1|15|11|23|84|1|5|4|1|0.274|0.386|0.452
Willi Castro|COL|285|6|37|33|6|74|25|70|256|1|3|13|0|0.273|0.344|0.395
Carlos Cortes|ATH|208|6|17|22|1|24|21|50|183|1|3|9|1|0.273|0.356|0.432
Dominic Canzone|SEA|219|13|30|34|1|46|20|53|194|2|3|13|1|0.273|0.347|0.552
Nick Madrigal|LAA|52|0|7|2|1|3|7|12|44|0|1|1|0|0.273|0.385|0.295
José Fermín|STL|129|3|13|15|3|18|9|32|118|1|0|6|0|0.271|0.32|0.398
Orlando Arcia|MIN|50|1|6|2|0|8|2|13|48|0|0|1|0|0.271|0.3|0.354
Brayan Rocchio|CLE|314|5|33|34|14|42|25|75|277|3|7|13|2|0.271|0.343|0.386
Endy Rodríguez|PIT|105|4|14|15|2|23|19|23|85|0|0|6|0|0.271|0.404|0.482
Yohendrick Piñango|TOR|146|5|11|20|0|34|9|37|137|0|0|7|0|0.27|0.315|0.431
Jhonny Pereda|SEA|68|2|8|4|0|11|4|17|63|0|1|0|0|0.27|0.324|0.365
Andy Pages|LAD|363|16|51|60|8|72|26|88|327|5|5|19|1|0.269|0.328|0.48
Chase DeLauter|CLE|279|7|25|37|2|38|28|67|249|2|0|13|1|0.269|0.341|0.414
Ben Rice|NYY|338|22|56|53|2|80|40|79|294|2|2|15|2|0.269|0.358|0.558
Byron Buxton|MIN|329|25|56|43|7|81|22|81|302|1|4|15|1|0.268|0.325|0.573
Santiago Espinal|LAD|60|1|5|7|0|8|1|15|56|1|0|3|0|0.268|0.276|0.375
Austin Hedges|CLE|127|1|13|9|1|21|10|30|112|1|1|7|0|0.268|0.331|0.357
Wilyer Abreu|BOS|349|10|38|39|6|66|33|83|310|4|0|16|3|0.268|0.334|0.435
Denzer Guzman|LAA|77|3|7|13|1|16|6|19|71|0|0|3|0|0.268|0.325|0.437
Vladimir Guerrero Jr.|TOR|343|4|45|34|6|37|35|80|299|5|4|12|0|0.268|0.347|0.348
Heliot Ramos|SFG|184|5|21|21|0|48|11|46|172|1|0|12|1|0.267|0.31|0.436
Chandler Simpson|TBR|311|0|33|16|19|32|17|77|288|2|0|7|4|0.267|0.306|0.319
Mauricio Dubón|ATL|314|8|34|43|2|45|19|78|292|0|2|17|2|0.267|0.316|0.421
Alex Call|LAD|126|1|19|16|1|18|16|28|105|2|3|5|0|0.267|0.373|0.343
