name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Victor Mederos|ATL|1|0|0|2|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Jihwan Bae|MIL|4|0|1|0|1|1|0|1|2|0|1|0|0|0.5|0.667|0.5
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Joshua Kuroda-Grauer|ATH|62|1|8|4|0|7|1|25|60|0|1|7|0|0.417|0.435|0.583
Michael Stefanic|ATH|20|0|3|2|0|3|2|7|18|0|0|1|0|0.389|0.45|0.444
Justin Dean|CHC|10|0|3|3|1|4|2|3|8|0|0|0|1|0.375|0.5|0.625
Gustavo Campero|LAA|12|0|0|2|0|4|0|4|11|1|0|1|0|0.364|0.333|0.455
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Brett Bateman|TOR|134|1|17|9|3|26|11|40|118|1|2|5|1|0.339|0.402|0.424
Adael Amador|COL|45|3|11|10|0|7|5|13|39|0|0|2|0|0.333|0.409|0.615
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Brewer Hicklen|ATL|30|0|8|3|0|10|6|8|24|0|0|4|0|0.333|0.467|0.5
Vimael Machín|COL|3|0|0|0|0|2|0|1|3|0|0|0|0|0.333|0.333|0.333
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Bryan De La Cruz|PHI|66|2|9|12|0|14|4|19|58|2|2|3|0|0.328|0.379|0.483
Leo Bernal|STL|44|2|7|12|0|7|4|13|40|0|0|2|0|0.325|0.386|0.525
Luis Arraez|PHI|608|6|66|59|10|26|29|177|556|12|5|30|7|0.318|0.35|0.43
Andrew Vaughn|MIL|319|6|33|43|0|50|34|87|277|2|6|18|2|0.314|0.398|0.458
Yordan Alvarez|HOU|637|38|95|96|1|113|100|162|522|5|10|30|1|0.31|0.427|0.59
Samad Taylor|SDP|130|1|17|11|8|38|13|35|113|0|1|2|2|0.31|0.386|0.389
