name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Enrique Hernández|LAD|4|1|2|2|0|0|0|4|4|0|0|2|0|1.0|1.0|2.25
Rafael Flores Jr.|PIT|5|1|2|2|0|0|2|2|3|0|0|1|0|0.667|0.8|2.0
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Kameron Misner|KCR|13|0|0|3|1|3|1|6|12|0|0|0|0|0.5|0.538|0.5
Will Wagner|SDP|14|0|2|0|0|2|5|4|9|0|0|1|0|0.444|0.643|0.556
Blaze Jordan|STL|12|1|2|4|0|2|0|5|12|0|0|0|1|0.417|0.417|0.833
Jonah Cox|SFG|16|1|4|2|1|7|0|6|15|0|0|1|1|0.4|0.4|0.8
Cody Freeman|TEX|11|0|1|0|0|4|1|4|10|0|0|0|0|0.4|0.455|0.4
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Samad Taylor|SDP|32|1|5|8|2|9|3|10|28|0|0|1|0|0.357|0.419|0.5
Andrew Vaughn|MIL|109|2|14|18|0|11|11|34|96|0|2|9|1|0.354|0.431|0.531
Tyler Callihan|PIT|30|2|6|6|1|7|6|8|23|0|1|2|1|0.348|0.5|0.783
Nelson Velázquez|STL|28|2|5|6|0|7|1|9|26|0|1|1|0|0.346|0.393|0.615
Otto Lopez|MIA|302|5|44|31|13|46|11|97|283|4|4|18|3|0.343|0.371|0.481
José Azócar|ATL|16|0|1|0|1|3|1|5|15|0|0|2|0|0.333|0.375|0.467
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Raynel Delgado|HOU|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Nick Madrigal|LAA|43|0|7|2|1|2|6|12|36|0|1|1|0|0.333|0.442|0.361
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Anthony Seigler|BOS|4|0|0|0|0|1|1|1|3|0|0|1|0|0.333|0.5|0.667
LaMonte Wade Jr.|HOU|13|1|2|4|0|3|1|4|12|0|0|2|0|0.333|0.385|0.75
Jung Hoo Lee|SFG|261|3|35|24|3|25|11|81|245|2|3|15|2|0.331|0.364|0.445
Jose Siri|LAA|54|3|12|12|0|14|5|15|46|0|1|3|0|0.326|0.404|0.587
Yordan Alvarez|HOU|314|24|49|54|1|54|46|85|261|2|5|13|0|0.326|0.433|0.651
Jackson Chourio|MIL|165|9|27|26|5|40|12|49|152|1|0|11|0|0.322|0.37|0.572
Brandon Marsh|PHI|253|8|36|32|6|60|12|76|236|3|2|12|2|0.322|0.356|0.492
Yandy Díaz|TBR|286|12|34|46|1|35|27|80|250|2|7|11|1|0.32|0.399|0.516
Jordan Lawlar|ARI|29|1|4|4|4|7|2|8|25|0|2|1|0|0.32|0.414|0.48
Luis Arraez|SFG|306|2|35|26|5|13|15|88|276|7|3|14|6|0.319|0.352|0.435
Henry Bolte|ATH|101|1|8|7|5|29|7|28|88|1|5|4|0|0.318|0.396|0.398
Troy Johnston|COL|255|3|30|34|4|45|19|73|230|2|3|21|0|0.317|0.374|0.448
Bryce Eldridge|SFG|121|5|18|14|0|25|16|33|104|1|0|9|0|0.317|0.405|0.548
Nathan Lukes|TOR|131|1|14|13|0|22|6|37|119|1|4|7|0|0.311|0.362|0.395
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Josh Jung|TEX|281|8|32|30|1|45|21|78|254|2|4|16|0|0.307|0.367|0.465
Ernie Clement|TOR|287|7|34|28|2|28|9|84|276|2|0|20|1|0.304|0.324|0.46
Willson Contreras|BOS|278|16|34|43|1|69|25|72|237|3|13|11|2|0.304|0.396|0.57
Michael Harris II|ATL|258|14|34|41|3|52|12|74|244|1|1|9|0|0.303|0.337|0.512
Drake Baldwin|ATL|216|13|39|38|1|44|24|57|188|1|3|6|0|0.303|0.389|0.543
Carlos Cortes|ATH|190|6|17|21|1|17|21|50|165|1|3|9|1|0.303|0.389|0.479
Blaze Alexander|BAL|170|2|19|19|7|39|10|46|152|1|3|10|1|0.303|0.355|0.421
Shohei Ohtani|LAD|309|14|50|41|6|69|51|75|248|3|5|15|2|0.302|0.427|0.548
Jake Mangum|PIT|155|1|19|11|13|27|10|42|139|1|2|5|0|0.302|0.355|0.36
Nick Gonzales|PIT|267|2|37|31|4|46|16|74|246|1|4|11|0|0.301|0.352|0.37
Alika Williams|ATH|43|1|6|5|0|10|2|12|40|0|0|4|0|0.3|0.333|0.475
Xavier Edwards|MIA|305|6|43|25|11|37|37|79|264|3|0|11|4|0.299|0.382|0.439
Daniel Susac|SFG|98|0|5|13|1|21|6|26|87|1|2|5|1|0.299|0.354|0.379
Riley Greene|DET|297|8|36|33|1|84|37|76|256|2|2|16|0|0.297|0.387|0.453
Donovan Walton|LAA|58|1|9|4|0|10|3|16|54|0|0|4|0|0.296|0.333|0.426
Ryan Jeffers|MIN|148|7|26|26|1|23|23|36|122|1|1|7|1|0.295|0.408|0.541
Wade Meckler|LAA|68|2|10|12|2|14|7|18|61|0|0|5|0|0.295|0.368|0.475
Paul Goldschmidt|NYY|175|9|24|31|1|31|15|46|156|1|3|8|1|0.295|0.366|0.532
William Contreras|MIL|287|6|39|43|1|37|24|76|258|4|1|12|0|0.295|0.352|0.411
Brandon Lockridge|MIL|96|0|9|12|5|25|10|25|85|0|0|4|0|0.294|0.368|0.341
Tristan Peters|CHW|197|3|21|21|4|37|14|52|177|0|2|15|2|0.294|0.352|0.452
Jordan Walker|STL|293|18|46|56|10|75|21|79|269|1|2|16|0|0.294|0.348|0.554
Juan Soto|NYM|231|15|32|34|6|30|31|58|198|1|0|6|1|0.293|0.387|0.561
Ben Rice|NYY|279|19|51|47|2|65|36|70|239|2|2|15|2|0.293|0.387|0.611
Yohendrick Piñango|TOR|128|4|9|18|0|28|8|35|120|0|0|6|0|0.292|0.336|0.442
Ryan Vilade|TBR|119|3|10|23|3|22|12|30|103|3|0|5|1|0.291|0.356|0.447
Randy Arozarena|SEA|302|7|47|33|19|66|28|76|261|3|10|18|1|0.291|0.377|0.448
Eloy Jiménez|TOR|35|0|2|3|0|7|3|9|31|1|0|0|0|0.29|0.343|0.29
CJ Abrams|WSH|300|14|46|53|10|61|29|75|259|3|9|13|2|0.29|0.377|0.517
Luis Campusano|SDP|58|3|9|10|0|15|5|15|52|0|1|7|0|0.288|0.362|0.596
Taylor Trammell|HOU|81|0|9|7|1|29|6|21|73|0|1|5|1|0.288|0.35|0.384
Alec Burleson|STL|298|13|39|51|2|47|26|77|268|2|2|17|0|0.287|0.352|0.496
