name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Victor Mederos|ATL|1|0|0|2|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Enrique Hernández|LAD|7|1|2|2|0|1|0|4|7|0|0|2|0|0.571|0.571|1.286
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Bryan De La Cruz|PHI|16|1|2|2|0|4|1|7|14|1|0|1|0|0.5|0.5|0.786
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Abimelec Ortiz|WSH|2|0|0|0|0|0|0|1|2|0|0|1|0|0.5|0.5|1.0
James Triantos|CHC|2|0|1|0|0|0|0|1|2|0|0|0|0|0.5|0.5|0.5
Joshua Kuroda-Grauer|ATH|62|1|8|4|0|7|1|25|60|0|1|7|0|0.417|0.435|0.583
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Eduardo Valencia|DET|24|4|8|7|0|6|0|9|23|0|1|0|0|0.391|0.417|0.913
Justin Dean|CHC|10|0|3|3|0|4|2|3|8|0|0|0|1|0.375|0.5|0.625
Brewer Hicklen|ATL|23|0|5|3|0|8|4|7|19|0|0|4|0|0.368|0.478|0.579
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Tyler Tolbert|KCR|83|3|21|6|14|13|6|24|72|1|0|2|0|0.333|0.38|0.486
Samad Taylor|SDP|102|1|14|11|6|30|12|29|88|0|0|1|1|0.33|0.41|0.398
Luis Arraez|SFG|456|4|52|43|10|20|25|135|412|9|4|23|7|0.328|0.364|0.447
Otto Lopez|MIA|459|9|65|50|22|63|23|138|424|8|4|27|7|0.325|0.359|0.486
Yordan Alvarez|HOU|474|35|74|80|1|82|73|126|392|3|6|20|0|0.321|0.432|0.64
Tommy Edman|LAD|125|2|19|18|3|24|9|35|109|0|5|6|2|0.321|0.398|0.468
Nick Gonzales|PIT|430|6|60|47|4|75|28|125|395|1|6|18|1|0.316|0.37|0.413
Jordan Lawlar|ARI|44|1|6|4|4|10|3|12|38|0|3|2|0|0.316|0.409|0.447
Blaze Alexander|BAL|246|4|31|29|9|54|16|69|221|1|4|12|2|0.312|0.368|0.439
Jeremy Peña|HOU|264|12|50|31|8|48|17|75|241|2|4|10|0|0.311|0.364|0.502
Pedro Ramírez|CHC|100|1|14|14|4|16|8|28|90|1|0|8|1|0.311|0.364|0.456
Andrew Vaughn|MIL|204|4|24|28|0|24|23|54|175|2|4|15|2|0.309|0.397|0.486
Alex Jackson|MIN|68|1|10|5|0|22|1|20|65|0|2|4|0|0.308|0.338|0.415
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Gabriel Moreno|ARI|336|8|46|45|4|50|40|88|286|7|3|18|0|0.308|0.39|0.455
Christian Encarnacion-Strand|BAL|36|3|4|9|0|7|2|10|33|0|0|1|0|0.303|0.343|0.606
Yandy Díaz|TBR|457|15|59|63|2|66|42|122|403|3|9|18|1|0.303|0.379|0.464
Jung Hoo Lee|SFG|399|6|52|40|6|40|17|113|374|3|5|24|4|0.302|0.338|0.436
Jake Mangum|PIT|304|2|37|21|19|53|14|84|279|1|7|11|1|0.301|0.349|0.369
Freddie Freeman|LAD|459|15|56|53|5|76|50|121|402|4|3|27|1|0.301|0.379|0.485
Nicky Lopez|TEX|174|1|17|18|4|25|9|46|155|1|2|3|0|0.297|0.341|0.335
Wade Meckler|LAA|160|2|19|17|3|36|15|43|145|0|0|9|0|0.297|0.363|0.4
Cole Carrigg|COL|159|5|31|26|3|32|16|40|135|4|3|9|3|0.296|0.373|0.519
Donovan Walton|ATH|128|3|20|14|0|24|13|33|112|0|1|9|1|0.295|0.373|0.473
Ryan Jeffers|MIN|194|9|30|35|1|32|27|48|163|1|2|9|1|0.294|0.399|0.528
Ernie Clement|TOR|430|8|46|35|4|41|14|121|411|3|2|27|1|0.294|0.319|0.423
Brandon Lockridge|MIL|96|0|9|12|5|25|10|25|85|0|0|4|0|0.294|0.368|0.341
Josh Jung|TEX|396|9|46|35|1|71|33|104|354|3|6|23|1|0.294|0.361|0.441
TJ Rumfield|COL|428|13|46|53|0|63|44|110|375|2|7|22|2|0.293|0.376|0.467
Victor Bericoto|SFG|59|4|7|9|1|15|1|17|58|0|0|3|0|0.293|0.305|0.552
Jake McCarthy|COL|357|10|46|59|17|65|18|96|328|3|4|21|7|0.293|0.334|0.491
Xavier Edwards|MIA|463|6|51|39|18|63|55|117|401|5|0|14|6|0.292|0.373|0.401
Tommy White|ATH|50|0|6|0|0|7|2|14|48|0|0|2|0|0.292|0.32|0.333
Eloy Jiménez|TOR|35|0|2|3|0|7|3|9|31|1|0|0|0|0.29|0.343|0.29
Chandler Simpson|TBR|401|0|45|20|26|37|20|108|372|4|0|11|6|0.29|0.323|0.352
Michael Harris II|ATL|414|19|53|61|6|81|16|114|393|3|2|21|0|0.29|0.319|0.489
Shohei Ohtani|LAD|456|23|68|65|6|104|64|110|380|5|5|21|2|0.289|0.394|0.537
James McCann|ARI|87|3|8|16|0|22|2|24|83|0|0|3|0|0.289|0.306|0.434
CJ Abrams|WSH|453|27|68|82|19|98|39|115|398|6|10|21|2|0.289|0.362|0.555
Willson Contreras|BOS|417|23|55|67|3|104|46|101|350|3|18|18|2|0.289|0.396|0.549
Javier Báez|DET|91|2|13|8|1|17|2|25|87|1|1|6|0|0.287|0.308|0.425
Luis Campusano|SDP|111|4|14|14|0|26|16|27|94|0|1|8|0|0.287|0.396|0.5
Trevor Larnach|MIN|323|8|47|38|2|56|37|81|282|0|3|19|1|0.287|0.376|0.447
Troy Johnston|COL|345|3|33|41|4|58|30|87|304|5|5|24|0|0.286|0.355|0.395
Deyvison De Los Santos|MIA|7|0|0|0|0|3|0|2|7|0|0|1|0|0.286|0.286|0.429
Luis García Jr.|WSH|367|23|48|76|4|59|16|100|350|1|0|19|5|0.286|0.316|0.566
Luis Lara|MIL|50|0|7|10|2|6|7|12|42|1|0|5|1|0.286|0.38|0.452
Ben Malgeri|DET|42|0|3|5|0|9|6|10|35|1|0|2|0|0.286|0.381|0.343
Ryan Mountcastle|BAL|15|0|0|1|0|2|1|4|14|0|0|1|0|0.286|0.333|0.357
John Rave|KCR|24|1|4|1|1|7|3|6|21|0|0|4|1|0.286|0.375|0.714
Brian Serven|ATH|7|1|1|2|0|2|0|2|7|0|0|0|0|0.286|0.286|0.714
Joey Wiemer|WSH|83|3|16|12|1|29|12|20|70|0|1|5|1|0.286|0.398|0.514
Fernando Tatis Jr.|SDP|477|8|54|49|25|95|42|121|424|5|5|21|2|0.285|0.353|0.401
Pete Crow-Armstrong|CHC|480|24|71|63|26|128|55|117|410|3|11|21|6|0.285|0.382|0.541
Kevin McGonigle|DET|469|9|66|37|11|65|65|114|400|1|3|20|3|0.285|0.388|0.418
Cooper Pratt|MIL|128|2|17|14|9|22|15|31|109|3|1|4|1|0.284|0.367|0.394
Jonathan Aranda|TBR|460|14|51|65|0|108|54|111|391|7|8|18|0|0.284|0.376|0.437
Miguel Rojas|LAD|168|3|16|18|0|16|10|42|148|6|2|9|0|0.284|0.325|0.405
Juan Soto|NYM|359|21|46|52|7|48|63|83|293|2|0|8|2|0.283|0.408|0.539
Sam Antonacci|CHW|352|8|57|32|14|55|25|86|304|1|19|14|2|0.283|0.372|0.421
Liam Hicks|MIA|396|14|54|60|3|38|38|97|343|6|8|9|1|0.283|0.362|0.437
Randy Arozarena|SEA|436|13|67|48|20|92|41|106|375|3|17|22|1|0.283|0.376|0.451
Alec Burleson|STL|458|15|57|71|3|71|36|117|415|3|4|26|1|0.282|0.343|0.458
Ty France|SDP|286|16|34|46|1|67|13|73|259|3|10|13|2|0.282|0.337|0.533
Ceddanne Rafaela|BOS|427|11|50|52|14|87|18|113|401|0|6|27|3|0.282|0.322|0.446
Blake Dunn|CIN|155|2|20|7|6|33|10|40|142|1|2|7|1|0.282|0.335|0.387
Austin Hedges|CLE|162|4|19|17|1|27|13|40|142|2|1|7|0|0.282|0.342|0.415
Nathan Lukes|TOR|263|5|28|18|0|39|16|67|238|1|5|11|0|0.282|0.338|0.391
Jordan Walker|STL|456|22|67|78|14|114|37|116|413|3|3|23|0|0.281|0.342|0.496
Junior Caminero|TBR|471|29|65|65|2|85|58|115|410|2|1|18|1|0.28|0.369|0.541
Spencer Horwitz|PIT|295|10|36|33|1|40|40|69|246|4|5|11|1|0.28|0.386|0.455
Brandon Marsh|PHI|409|16|55|47|9|110|22|107|382|3|2|15|2|0.28|0.32|0.455
Chase DeLauter|CLE|385|11|38|51|6|54|39|96|343|3|0|20|1|0.28|0.351|0.44
Nolan Schanuel|LAA|371|6|34|37|1|51|33|92|329|3|6|19|0|0.28|0.353|0.392
Riley Greene|DET|454|15|58|53|2|120|57|109|390|5|2|24|1|0.279|0.37|0.462
Drake Baldwin|ATL|383|20|60|56|2|80|42|93|333|1|7|7|0|0.279|0.371|0.48
Bobby Witt Jr.|KCR|414|13|51|39|30|73|41|103|369|3|1|22|1|0.279|0.35|0.45
Elly De La Cruz|CIN|400|18|61|48|20|109|41|99|355|2|2|18|4|0.279|0.355|0.504
Carlos Correa|HOU|141|3|22|16|1|26|18|34|122|1|0|8|0|0.279|0.369|0.418
Mickey Moniak|COL|264|17|36|46|1|67|14|68|244|3|3|12|3|0.279|0.322|0.561
Esmerlyn Valdez|PIT|159|14|26|36|0|56|20|38|137|1|1|9|1|0.277|0.371|0.664
Isiah Kiner-Falefa|BOS|132|2|19|13|7|18|12|33|119|0|0|4|0|0.277|0.344|0.361
Wyatt Langford|TEX|246|12|34|30|7|55|14|64|231|0|1|13|2|0.277|0.321|0.506
Nick Fortes|TBR|252|4|28|27|0|31|6|65|235|1|8|13|0|0.277|0.316|0.383
Dane Myers|CIN|178|3|21|15|7|46|22|42|152|1|3|7|0|0.276|0.376|0.382
Ryan Waldschmidt|ARI|158|1|17|13|6|53|9|40|145|2|1|13|1|0.276|0.318|0.4
Konnor Griffin|PIT|247|5|35|25|20|65|16|62|225|2|4|10|2|0.276|0.332|0.404
Nick Sogard|BOS|46|0|3|3|0|8|5|11|40|0|0|2|1|0.275|0.356|0.375
Jacob Wilson|ATH|295|7|31|33|4|33|11|77|280|1|2|12|1|0.275|0.306|0.4
Ildemaro Vargas|ARI|338|7|45|50|2|30|20|86|313|1|2|15|3|0.275|0.321|0.409
Jesús Sánchez|TOR|234|7|22|29|1|52|10|59|215|4|5|14|0|0.274|0.316|0.437
Jackson Chourio|MIL|337|13|51|42|10|80|24|85|310|1|2|19|0|0.274|0.329|0.461
Chase Meidroth|CHW|441|9|62|40|2|101|42|106|387|3|3|20|0|0.274|0.347|0.395
Brendan Donovan|SEA|101|3|9|8|1|15|11|23|84|1|5|4|1|0.274|0.386|0.452
Zack Gelof|ATH|247|11|41|29|8|62|14|62|227|0|4|11|1|0.273|0.327|0.476
Jonatan Clase|TOR|25|2|4|6|0|8|3|6|22|0|0|0|0|0.273|0.36|0.545
William Contreras|MIL|429|10|52|57|1|60|36|105|385|5|3|15|1|0.273|0.336|0.395
Raynel Delgado|HOU|36|1|3|4|0|5|2|9|33|0|0|1|0|0.273|0.314|0.394
Nick Madrigal|LAA|52|0|7|2|1|3|7|12|44|0|1|1|0|0.273|0.385|0.295
Hao-Yu Lee|DET|196|6|17|26|1|49|9|50|184|2|0|10|1|0.272|0.303|0.435
Tristan Peters|CHW|323|6|40|38|5|60|22|79|291|2|4|21|3|0.271|0.329|0.426
Casey Schmitt|SFG|409|21|47|55|9|81|11|105|387|4|7|17|1|0.271|0.301|0.483
Orlando Arcia|MIN|50|1|6|2|0|8|2|13|48|0|0|1|0|0.271|0.3|0.354
Brice Turang|MIL|463|15|70|66|15|113|59|108|399|2|0|25|3|0.271|0.363|0.461
Ryan O'Hearn|PIT|393|17|54|69|1|86|30|96|355|3|5|15|0|0.27|0.333|0.456
James Wood|WSH|518|30|99|72|17|148|89|114|422|3|4|26|1|0.27|0.4|0.55
Seiya Suzuki|CHC|407|18|59|60|1|106|48|95|352|3|4|18|0|0.27|0.361|0.474
Jhonny Pereda|SEA|68|2|8|4|0|11|4|17|63|0|1|0|0|0.27|0.324|0.365
Gleyber Torres|DET|227|5|29|23|0|45|34|51|189|2|2|8|0|0.27|0.383|0.392
Jonah Cox|SFG|29|1|5|3|4|15|0|7|26|0|0|1|1|0.269|0.269|0.5
Andy Pages|LAD|465|18|64|71|10|93|38|112|416|5|6|22|2|0.269|0.335|0.462
Ben Rice|NYY|448|31|70|73|2|109|53|105|390|2|3|19|3|0.269|0.359|0.572
Ezequiel Duran|TEX|378|12|49|57|8|87|27|92|342|5|3|19|3|0.269|0.324|0.447
A.J. Ewing|NYM|279|7|32|27|14|74|27|66|246|3|1|12|1|0.268|0.339|0.411
Dillon Dingler|DET|416|22|55|68|0|91|26|100|373|3|12|22|2|0.268|0.333|0.515
Santiago Espinal|LAD|60|1|5|7|0|8|1|15|56|1|0|3|0|0.268|0.276|0.375
Griffin Conine|MIA|131|9|19|20|2|40|13|31|116|0|2|5|0|0.267|0.351|0.543
Dominic Smith|ATL|259|7|36|41|0|35|19|62|232|5|2|6|1|0.267|0.322|0.392
Heliot Ramos|SFG|294|9|36|34|3|77|15|74|277|1|1|13|3|0.267|0.306|0.433
Bryan Reynolds|PIT|478|15|74|61|7|115|67|107|401|2|8|26|2|0.267|0.381|0.454
Jake Bauers|MIL|386|18|63|60|8|101|52|88|330|1|3|16|2|0.267|0.37|0.491
Kyle Farmer|ATL|16|0|2|3|0|4|0|4|15|1|0|1|0|0.267|0.25|0.333
Rafael Flores Jr.|PIT|19|1|2|2|0|2|4|4|15|0|0|1|0|0.267|0.421|0.533
Brandon Nimmo|TEX|437|10|44|39|5|95|35|105|394|2|6|26|4|0.266|0.334|0.429
Garrett Mitchell|MIL|354|8|47|49|7|113|41|82|308|1|3|22|3|0.266|0.357|0.435
Michael Massey|KCR|293|8|36|36|2|50|16|72|271|4|0|19|0|0.266|0.302|0.424
Carlos Cortes|ATH|256|7|23|28|1|37|23|60|226|3|4|12|1|0.265|0.34|0.42
Brayan Rocchio|CLE|415|9|43|50|15|60|28|99|373|3|7|17|2|0.265|0.326|0.394
Vladimir Guerrero Jr.|TOR|435|6|54|44|7|57|45|101|381|5|4|17|0|0.265|0.345|0.357
Alika Williams|ATH|113|2|13|10|0|31|3|28|106|1|1|10|0|0.264|0.288|0.415
Vaughn Grissom|LAA|261|7|27|46|0|40|20|61|231|4|5|14|0|0.264|0.331|0.416
Oneil Cruz|PIT|283|14|45|44|21|98|30|66|250|0|3|10|0|0.264|0.35|0.472
Javier Sanoja|MIA|287|3|26|35|6|23|16|71|269|1|0|21|2|0.264|0.304|0.39
Colt Keith|DET|311|8|41|26|4|59|18|76|288|2|3|12|4|0.264|0.312|0.417
Shea Langeliers|ATH|416|23|55|51|2|96|34|99|376|1|5|19|0|0.263|0.332|0.497
