name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Enrique Hernández|LAD|4|1|2|2|0|0|0|4|4|0|0|2|0|1.0|1.0|2.25
Victor Mederos|ATL|1|0|0|2|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Bryan De La Cruz|PHI|3|1|1|1|0|1|1|1|2|0|0|0|0|0.5|0.667|2.0
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Abimelec Ortiz|WSH|2|0|0|0|0|0|0|1|2|0|0|1|0|0.5|0.5|1.0
Joshua Kuroda-Grauer|ATH|62|1|8|4|0|7|1|25|60|0|1|7|0|0.417|0.435|0.583
Eduardo Valencia|DET|13|2|3|3|0|4|0|5|12|0|1|0|0|0.417|0.462|0.917
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Brewer Hicklen|ATL|21|0|4|3|0|7|3|7|18|0|0|4|0|0.389|0.476|0.611
Christian Encarnacion-Strand|BAL|17|2|2|4|0|4|0|6|16|0|0|0|0|0.375|0.375|0.75
Tommy White|ATH|21|0|2|0|0|0|2|7|19|0|0|1|0|0.368|0.429|0.421
Tommy Edman|LAD|100|2|16|17|2|18|8|31|86|0|4|5|2|0.36|0.439|0.535
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Justin Dean|CHC|8|0|3|3|0|3|2|2|6|0|0|0|1|0.333|0.5|0.667
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Andrew Velazquez|KCR|3|0|0|0|1|0|0|1|3|0|0|0|0|0.333|0.333|0.333
Otto Lopez|MIA|428|9|62|46|18|60|22|131|395|7|4|27|6|0.332|0.367|0.499
Samad Taylor|SDP|102|1|14|11|6|30|12|29|88|0|0|1|1|0.33|0.41|0.398
Yordan Alvarez|HOU|446|34|69|77|1|76|66|122|372|3|5|20|0|0.328|0.433|0.656
Tyler Tolbert|KCR|69|2|17|5|11|11|4|20|61|1|0|1|0|0.328|0.364|0.443
Alex Jackson|MIN|62|1|9|5|0|17|1|19|59|0|2|4|0|0.322|0.355|0.441
Luis Arraez|SFG|424|4|48|37|8|18|25|122|381|9|3|22|7|0.32|0.359|0.446
Jordan Lawlar|ARI|44|1|6|4|4|10|3|12|38|0|3|2|0|0.316|0.409|0.447
Nicky Lopez|TEX|146|1|15|14|4|21|4|42|134|0|2|3|0|0.313|0.343|0.358
Nick Gonzales|PIT|399|6|58|46|4|72|28|114|364|1|6|17|1|0.313|0.371|0.415
Blaze Alexander|BAL|246|4|31|29|9|54|16|69|221|1|4|12|2|0.312|0.368|0.439
Wade Meckler|LAA|147|2|19|17|3|32|15|41|132|0|0|8|0|0.311|0.381|0.417
Yandy Díaz|TBR|428|14|56|60|2|59|39|116|377|3|9|17|1|0.308|0.383|0.469
Jim Jarvis|ATL|56|1|7|7|0|10|2|16|52|0|1|4|1|0.308|0.345|0.481
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Andrew Vaughn|MIL|187|3|22|26|0|22|21|50|163|1|2|15|2|0.307|0.39|0.479
Jake McCarthy|COL|334|10|44|56|17|59|18|93|305|3|4|21|6|0.305|0.348|0.511
Donovan Walton|ATH|115|3|18|12|0|22|11|31|102|0|1|9|1|0.304|0.377|0.5
Jake Mangum|PIT|275|2|35|21|19|47|14|76|251|1|6|10|1|0.303|0.353|0.375
Gabriel Moreno|ARI|302|7|41|34|4|46|37|78|258|4|3|15|0|0.302|0.391|0.442
